,F1-M,F1-D,F2a-M,F2b-M,F3-M,F4-M,F,A1-D,A1-M,A1.2,A2-M,A,I1-D,I1-M,I2,I3-D,I,R1.1,R1.2,R1.3-D,R1.3-M,R,FAIR
F1-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F1-D,"nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.24 *** CI=[0.11, 0.35]","0.34 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.38 *** CI=[0.26, 0.48]","0.41 *** CI=[0.28, 0.51]","nan  CI=[nan, nan]","0.52 *** CI=[0.38, 0.65]","nan  CI=[nan, nan]","0.43 *** CI=[0.30, 0.54]","nan  CI=[nan, nan]","0.41 *** CI=[0.22, 0.57]","0.29 *** CI=[0.08, 0.47]","0.01  CI=[nan, nan]","0.41 *** CI=[0.24, 0.55]","0.03  CI=[0.02, 0.04]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.41 *** CI=[0.22, 0.55]","0.38 *** CI=[0.22, 0.51]","0.36 *** CI=[0.24, 0.45]"
F2a-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F2b-M,"nan  CI=[nan, nan]","0.24 *** CI=[0.11, 0.35]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.20 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.98 *** CI=[0.95, 1.00]","0.69 *** CI=[0.61, 0.76]","nan  CI=[nan, nan]","0.51 *** CI=[0.41, 0.59]","nan  CI=[nan, nan]","0.68 *** CI=[0.60, 0.75]","nan  CI=[nan, nan]","0.54 *** CI=[0.45, 0.62]","0.52 *** CI=[0.43, 0.60]","0.03  CI=[nan, nan]","0.54 *** CI=[0.45, 0.62]","0.27 *** CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.54 *** CI=[0.46, 0.62]","0.59 *** CI=[0.50, 0.67]","0.95 *** CI=[0.92, 0.98]"
F3-M,"nan  CI=[nan, nan]","0.34 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.20 *** CI=[nan, nan]","1.00 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.20 *** CI=[nan, nan]","0.21 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.17 ** CI=[nan, nan]","nan  CI=[nan, nan]","0.21 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.16 ** CI=[nan, nan]","0.18 *** CI=[nan, nan]","0.01  CI=[nan, nan]","0.17 ** CI=[nan, nan]","0.01  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.16 ** CI=[nan, nan]","0.15 ** CI=[nan, nan]","0.18 *** CI=[nan, nan]"
F4-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F,"nan  CI=[nan, nan]","0.38 *** CI=[0.26, 0.48]","nan  CI=[nan, nan]","0.98 *** CI=[0.95, 1.00]","0.20 *** CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.73 *** CI=[0.65, 0.79]","nan  CI=[nan, nan]","0.57 *** CI=[0.48, 0.64]","nan  CI=[nan, nan]","0.72 *** CI=[0.65, 0.78]","nan  CI=[nan, nan]","0.57 *** CI=[0.49, 0.64]","0.52 *** CI=[0.43, 0.60]","0.03  CI=[nan, nan]","0.56 *** CI=[0.48, 0.65]","0.27 *** CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.57 *** CI=[0.49, 0.65]","0.61 *** CI=[0.54, 0.69]","0.97 *** CI=[0.96, 0.99]"
A1-D,"nan  CI=[nan, nan]","0.41 *** CI=[0.28, 0.51]","nan  CI=[nan, nan]","0.69 *** CI=[0.61, 0.76]","0.21 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.73 *** CI=[0.65, 0.79]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.79 *** CI=[0.71, 0.87]","nan  CI=[nan, nan]","1.00 *** CI=[0.99, 1.00]","nan  CI=[nan, nan]","0.77 *** CI=[0.68, 0.85]","0.71 *** CI=[0.62, 0.81]","-0.12 * CI=[nan, nan]","0.74 *** CI=[0.62, 0.84]","0.07  CI=[0.04, 0.09]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.77 *** CI=[0.68, 0.86]","0.72 *** CI=[0.62, 0.80]","0.78 *** CI=[0.72, 0.84]"
A1-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
A1.2,"nan  CI=[nan, nan]","0.52 *** CI=[0.38, 0.65]","nan  CI=[nan, nan]","0.51 *** CI=[0.41, 0.59]","0.17 ** CI=[nan, nan]","nan  CI=[nan, nan]","0.57 *** CI=[0.48, 0.64]","0.79 *** CI=[0.71, 0.87]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.83 *** CI=[0.75, 0.89]","nan  CI=[nan, nan]","0.93 *** CI=[0.86, 0.99]","0.91 *** CI=[0.83, 0.97]","0.02  CI=[nan, nan]","0.92 *** CI=[0.84, 0.97]","0.05  CI=[0.03, 0.07]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.93 *** CI=[0.86, 0.98]","0.86 *** CI=[0.77, 0.92]","0.67 *** CI=[0.59, 0.74]"
