,F1-M,F1-D,F2a-M,F2b-M,F3-M,F4-M,F,A1-D,A1-M,A1.2,A2-M,A,I1-D,I1-M,I2,I3-D,I,R1.1,R1.2,R1.3-D,R,FAIR,R1.3-M
F1-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F1-D,"nan  CI=[nan, nan]","1.00 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.40 *** CI=[nan, nan]","-0.04  CI=[nan, nan]","nan  CI=[nan, nan]","0.50 *** CI=[nan, nan]","0.33 ** CI=[0.17, 0.47]","nan  CI=[nan, nan]","0.79 *** CI=[0.57, 1.00]","nan  CI=[nan, nan]","0.52 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.64 *** CI=[nan, nan]","0.18  CI=[nan, nan]","0.15  CI=[0.08, 0.23]","0.47 *** CI=[nan, nan]","0.04  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.37 ** CI=[nan, nan]","0.48 *** CI=[nan, nan]","0.60 *** CI=[nan, nan]"
F2a-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F2b-M,"nan  CI=[nan, nan]","0.40 *** CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","-0.07  CI=[nan, nan]","nan  CI=[nan, nan]","0.95 *** CI=[0.85, 1.00]","0.71 *** CI=[0.57, 0.81]","nan  CI=[nan, nan]","0.52 *** CI=[0.35, 0.67]","nan  CI=[nan, nan]","0.75 *** CI=[0.63, 0.85]","nan  CI=[nan, nan]","0.58 *** CI=[0.41, 0.71]","0.34 ** CI=[nan, nan]","0.60 *** CI=[0.43, 0.73]","0.77 *** CI=[0.64, 0.86]","0.30 * CI=[0.14, 0.49]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.51 *** CI=[0.29, 0.68]","0.95 *** CI=[0.92, 0.97]","0.53 *** CI=[0.31, 0.69]"
F3-M,"nan  CI=[nan, nan]","-0.04  CI=[nan, nan]","nan  CI=[nan, nan]","-0.07  CI=[nan, nan]","1.00 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.20  CI=[nan, nan]","-0.13  CI=[nan, nan]","nan  CI=[nan, nan]","-0.05  CI=[nan, nan]","nan  CI=[nan, nan]","-0.12  CI=[nan, nan]","nan  CI=[nan, nan]","-0.05  CI=[nan, nan]","-0.03  CI=[nan, nan]","-0.26 * CI=[nan, nan]","-0.21  CI=[nan, nan]","0.07  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.21  CI=[nan, nan]","0.05  CI=[nan, nan]","0.29 * CI=[nan, nan]"
F4-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F,"nan  CI=[nan, nan]","0.50 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.95 *** CI=[0.85, 1.00]","0.20  CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.67 *** CI=[0.51, 0.80]","nan  CI=[nan, nan]","0.58 *** CI=[0.40, 0.70]","nan  CI=[nan, nan]","0.73 *** CI=[0.57, 0.85]","nan  CI=[nan, nan]","0.57 *** CI=[0.37, 0.71]","0.29 * CI=[nan, nan]","0.52 *** CI=[0.24, 0.70]","0.70 *** CI=[0.47, 0.84]","0.27 * CI=[0.04, 0.46]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.54 *** CI=[0.30, 0.72]","0.96 *** CI=[0.92, 0.98]","0.61 *** CI=[0.42, 0.73]"
A1-D,"nan  CI=[nan, nan]","0.33 ** CI=[0.17, 0.47]","nan  CI=[nan, nan]","0.71 *** CI=[0.57, 0.81]","-0.13  CI=[nan, nan]","nan  CI=[nan, nan]","0.67 *** CI=[0.51, 0.80]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.41 *** CI=[0.28, 0.55]","nan  CI=[nan, nan]","0.96 *** CI=[0.92, 0.98]","nan  CI=[nan, nan]","0.41 *** CI=[0.28, 0.57]","0.23  CI=[nan, nan]","0.32 * CI=[0.09, 0.49]","0.46 *** CI=[0.29, 0.61]","0.14  CI=[-0.08, 0.37]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.30 * CI=[0.09, 0.50]","0.78 *** CI=[0.67, 0.85]","0.35 ** CI=[0.14, 0.52]"
A1-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
A1.2,"nan  CI=[nan, nan]","0.79 *** CI=[0.57, 1.00]","nan  CI=[nan, nan]","0.52 *** CI=[0.35, 0.67]","-0.05  CI=[nan, nan]","nan  CI=[nan, nan]","0.58 *** CI=[0.40, 0.70]","0.41 *** CI=[0.28, 0.55]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.65 *** CI=[0.47, 0.77]","nan  CI=[nan, nan]","0.87 *** CI=[0.65, 1.00]","0.55 *** CI=[nan, nan]","0.19  CI=[0.10, 0.28]","0.65 *** CI=[0.44, 0.79]","0.10  CI=[-0.12, 0.25]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.54 *** CI=[0.18, 0.76]","0.60 *** CI=[0.42, 0.73]","0.82 *** CI=[0.57, 1.00]"
