,F1-M,F1-D,F2a-M,F2b-M,F3-M,F4-M,F,A1-D,A1-M,A1.2,A2-M,A,I1-D,I1-M,I2,I3-D,I,R1.1,R1.2,R1.3-D,R1.3-M,R,FAIR
F1-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F1-D,"nan  CI=[nan, nan]","1.00 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.20  CI=[nan, nan]","-0.04  CI=[nan, nan]","nan  CI=[nan, nan]","0.54 *** CI=[nan, nan]","0.51 *** CI=[0.31, 0.67]","nan  CI=[nan, nan]","0.69 *** CI=[0.46, 0.88]","nan  CI=[nan, nan]","0.56 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.51 *** CI=[nan, nan]","0.28 * CI=[nan, nan]","0.16  CI=[nan, nan]","0.44 *** CI=[0.22, 0.61]","0.09  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.51 *** CI=[0.22, 0.76]","0.47 *** CI=[nan, nan]","0.49 *** CI=[nan, nan]"
F2a-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F2b-M,"nan  CI=[nan, nan]","0.20  CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.10  CI=[nan, nan]","nan  CI=[nan, nan]","0.90 *** CI=[0.79, 0.98]","0.48 *** CI=[0.28, 0.65]","nan  CI=[nan, nan]","0.30 * CI=[0.06, 0.49]","nan  CI=[nan, nan]","0.48 *** CI=[0.27, 0.64]","nan  CI=[nan, nan]","0.29 * CI=[0.07, 0.48]","0.39 ** CI=[nan, nan]","0.61 *** CI=[0.46, 0.74]","0.58 *** CI=[0.39, 0.74]","0.36 ** CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.29 * CI=[0.07, 0.49]","0.40 *** CI=[0.17, 0.59]","0.80 *** CI=[0.65, 0.92]"
F3-M,"nan  CI=[nan, nan]","-0.04  CI=[nan, nan]","nan  CI=[nan, nan]","0.10  CI=[nan, nan]","1.00 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.21  CI=[nan, nan]","0.18  CI=[nan, nan]","nan  CI=[nan, nan]","0.25 * CI=[nan, nan]","nan  CI=[nan, nan]","0.20  CI=[nan, nan]","nan  CI=[nan, nan]","0.23  CI=[nan, nan]","-0.04  CI=[nan, nan]","0.06  CI=[nan, nan]","0.17  CI=[nan, nan]","0.03  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.23  CI=[nan, nan]","0.21  CI=[nan, nan]","0.19  CI=[nan, nan]"
F4-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F,"nan  CI=[nan, nan]","0.54 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.90 *** CI=[0.79, 0.98]","0.21  CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.63 *** CI=[0.44, 0.77]","nan  CI=[nan, nan]","0.55 *** CI=[0.32, 0.72]","nan  CI=[nan, nan]","0.65 *** CI=[0.47, 0.79]","nan  CI=[nan, nan]","0.48 *** CI=[0.27, 0.65]","0.37 ** CI=[nan, nan]","0.61 *** CI=[0.45, 0.74]","0.69 *** CI=[0.52, 0.81]","0.36 ** CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.48 *** CI=[0.28, 0.65]","0.56 *** CI=[0.35, 0.73]","0.89 *** CI=[0.78, 0.96]"
A1-D,"nan  CI=[nan, nan]","0.51 *** CI=[0.31, 0.67]","nan  CI=[nan, nan]","0.48 *** CI=[0.28, 0.65]","0.18  CI=[nan, nan]","nan  CI=[nan, nan]","0.63 *** CI=[0.44, 0.77]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.73 *** CI=[0.58, 0.87]","nan  CI=[nan, nan]","0.99 *** CI=[0.98, 1.00]","nan  CI=[nan, nan]","0.56 *** CI=[0.32, 0.76]","0.42 *** CI=[nan, nan]","0.17  CI=[-0.06, 0.37]","0.49 *** CI=[0.26, 0.70]","0.19  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.56 *** CI=[0.32, 0.77]","0.56 *** CI=[0.36, 0.73]","0.74 *** CI=[0.58, 0.84]"
A1-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
A1.2,"nan  CI=[nan, nan]","0.69 *** CI=[0.46, 0.88]","nan  CI=[nan, nan]","0.30 * CI=[0.06, 0.49]","0.25 * CI=[nan, nan]","nan  CI=[nan, nan]","0.55 *** CI=[0.32, 0.72]","0.73 *** CI=[0.58, 0.87]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.80 *** CI=[0.65, 0.91]","nan  CI=[nan, nan]","0.82 *** CI=[0.63, 0.96]","0.58 *** CI=[nan, nan]","0.23  CI=[0.15, 0.32]","0.70 *** CI=[0.54, 0.82]","0.13  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.82 *** CI=[0.63, 0.96]","0.76 *** CI=[0.57, 0.90]","0.70 *** CI=[0.54, 0.80]"
