,F1-M,F1-D,F2a-M,F2b-M,F3-M,F4-M,F,A1-D,A1-M,A1.2,A2-M,A,I1-D,I1-M,I2,I3-D,I,R1.1,R1.2,R1.3-D,R,FAIR,R1.3-M
A,"nan  CI=[nan, nan]","0.57 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.51 *** CI=[0.21, 0.74]","0.22  CI=[nan, nan]","nan  CI=[nan, nan]","0.71 *** CI=[0.55, 0.83]","0.91 *** CI=[0.82, 0.97]","nan  CI=[nan, nan]","0.70 *** CI=[0.43, 0.84]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.64 *** CI=[nan, nan]","0.35 * CI=[nan, nan]","0.19  CI=[nan, nan]","0.65 *** CI=[0.41, 0.80]","0.34 * CI=[0.09, 0.56]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.57 *** CI=[0.27, 0.77]","0.87 *** CI=[0.77, 0.93]","0.64 *** CI=[nan, nan]"
I1-D,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
I1-M,"nan  CI=[nan, nan]","0.69 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.12  CI=[nan, nan]","0.23  CI=[nan, nan]","nan  CI=[nan, nan]","0.37 * CI=[0.06, 0.58]","0.32 * CI=[0.17, 0.46]","nan  CI=[nan, nan]","0.91 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.64 *** CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.55 *** CI=[nan, nan]","0.06  CI=[nan, nan]","0.93 *** CI=[nan, nan]","0.26  CI=[0.13, 0.38]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.68 *** CI=[nan, nan]","0.61 *** CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]"
I2,"nan  CI=[nan, nan]","0.30  CI=[nan, nan]","nan  CI=[nan, nan]","0.21  CI=[nan, nan]","-0.05  CI=[nan, nan]","nan  CI=[nan, nan]","0.18  CI=[nan, nan]","0.17  CI=[nan, nan]","nan  CI=[nan, nan]","0.50 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.35 * CI=[nan, nan]","nan  CI=[nan, nan]","0.55 *** CI=[nan, nan]","1.00 *** CI=[nan, nan]","0.03  CI=[nan, nan]","0.57 *** CI=[nan, nan]","0.14  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.37 * CI=[nan, nan]","0.36 * CI=[nan, nan]","0.55 *** CI=[nan, nan]"
I3-D,"nan  CI=[nan, nan]","0.06  CI=[nan, nan]","nan  CI=[nan, nan]","0.28  CI=[nan, nan]","0.03  CI=[nan, nan]","nan  CI=[nan, nan]","0.27  CI=[nan, nan]","0.21  CI=[nan, nan]","nan  CI=[nan, nan]","0.07  CI=[nan, nan]","nan  CI=[nan, nan]","0.19  CI=[nan, nan]","nan  CI=[nan, nan]","0.06  CI=[nan, nan]","0.03  CI=[nan, nan]","1.00 *** CI=[nan, nan]","0.41 ** CI=[nan, nan]","-0.10  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","-0.04  CI=[nan, nan]","0.26  CI=[nan, nan]","0.06  CI=[nan, nan]"
I,"nan  CI=[nan, nan]","0.65 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.22  CI=[-0.17, 0.56]","0.21  CI=[nan, nan]","nan  CI=[nan, nan]","0.43 ** CI=[0.15, 0.65]","0.36 * CI=[0.19, 0.50]","nan  CI=[nan, nan]","0.86 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.65 *** CI=[0.41, 0.80]","nan  CI=[nan, nan]","0.93 *** CI=[nan, nan]","0.57 *** CI=[nan, nan]","0.41 ** CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.20  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.61 *** CI=[0.25, 0.79]","0.65 *** CI=[0.38, 0.80]","0.93 *** CI=[nan, nan]"
R1.1,"nan  CI=[nan, nan]","0.23  CI=[nan, nan]","nan  CI=[nan, nan]","0.53 *** CI=[0.30, 0.74]","0.14  CI=[nan, nan]","nan  CI=[nan, nan]","0.59 *** CI=[0.40, 0.75]","0.28  CI=[-0.05, 0.59]","nan  CI=[nan, nan]","0.28  CI=[0.16, 0.42]","nan  CI=[nan, nan]","0.34 * CI=[0.09, 0.56]","nan  CI=[nan, nan]","0.26  CI=[0.13, 0.38]","0.14  CI=[nan, nan]","-0.10  CI=[nan, nan]","0.20  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.88 *** CI=[0.75, 0.96]","0.67 *** CI=[0.48, 0.80]","0.26  CI=[nan, nan]"
R1.2,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
R1.3-D,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
R,"nan  CI=[nan, nan]","0.51 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.46 ** CI=[0.17, 0.70]","0.22  CI=[nan, nan]","nan  CI=[nan, nan]","0.63 *** CI=[0.42, 0.78]","0.37 * CI=[0.10, 0.60]","nan  CI=[nan, nan]","0.66 *** CI=[0.41, 0.82]","nan  CI=[nan, nan]","0.57 *** CI=[0.27, 0.77]","nan  CI=[nan, nan]","0.68 *** CI=[nan, nan]","0.37 * CI=[nan, nan]","-0.04  CI=[nan, nan]","0.61 *** CI=[0.25, 0.79]","0.88 *** CI=[0.75, 0.96]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.80 *** CI=[0.67, 0.90]","0.68 *** CI=[nan, nan]"
FAIR,"nan  CI=[nan, nan]","0.54 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.71 *** CI=[0.45, 0.91]","0.31 * CI=[nan, nan]","nan  CI=[nan, nan]","0.90 *** CI=[0.78, 0.97]","0.77 *** CI=[0.64, 0.85]","nan  CI=[nan, nan]","0.65 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.87 *** CI=[0.77, 0.93]","nan  CI=[nan, nan]","0.61 *** CI=[nan, nan]","0.36 * CI=[nan, nan]","0.26  CI=[nan, nan]","0.65 *** CI=[0.38, 0.80]","0.67 *** CI=[0.48, 0.80]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.80 *** CI=[0.67, 0.90]","1.00 *** CI=[1.00, 1.00]","0.61 *** CI=[nan, nan]"
R1.3-M,"nan  CI=[nan, nan]","0.69 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.12  CI=[-0.22, 0.45]","0.23  CI=[nan, nan]","nan  CI=[nan, nan]","0.37 * CI=[nan, nan]","0.32 * CI=[nan, nan]","nan  CI=[nan, nan]","0.91 *** CI=[0.69, 1.00]","nan  CI=[nan, nan]","0.64 *** CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.55 *** CI=[nan, nan]","0.06  CI=[nan, nan]","0.93 *** CI=[nan, nan]","0.26  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.68 *** CI=[nan, nan]","0.61 *** CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]"
