,F1-M,F1-D,F2a-M,F2b-M,F3-M,F4-M,F,A1-D,A1-M,A1.2,A2-M,A,I1-D,I1-M,I2,I3-D,I,R1.1,R1.2,R1.3-D,R1.3-M,R,FAIR
F1-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F1-D,"nan  CI=[nan, nan]","1.00 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.19  CI=[nan, nan]","0.29  CI=[nan, nan]","nan  CI=[nan, nan]","0.56 *** CI=[nan, nan]","0.53 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.90 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.63 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.63 *** CI=[nan, nan]","0.15  CI=[nan, nan]","0.08  CI=[nan, nan]","0.55 *** CI=[nan, nan]","0.12  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.63 *** CI=[nan, nan]","0.55 *** CI=[nan, nan]","0.55 *** CI=[nan, nan]"
F2a-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F2b-M,"nan  CI=[nan, nan]","0.19  CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.35 * CI=[nan, nan]","nan  CI=[nan, nan]","0.86 *** CI=[0.58, 1.00]","0.53 *** CI=[0.26, 0.75]","nan  CI=[nan, nan]","0.18  CI=[-0.17, 0.47]","nan  CI=[nan, nan]","0.49 *** CI=[0.22, 0.73]","nan  CI=[nan, nan]","0.44 ** CI=[0.22, 0.63]","0.28  CI=[nan, nan]","0.36 * CI=[nan, nan]","0.53 *** CI=[0.32, 0.71]","0.48 ** CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.44 ** CI=[nan, nan]","0.60 *** CI=[0.37, 0.77]","0.81 *** CI=[0.61, 0.96]"
F3-M,"nan  CI=[nan, nan]","0.29  CI=[nan, nan]","nan  CI=[nan, nan]","0.35 * CI=[nan, nan]","1.00 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.38 * CI=[nan, nan]","0.32 * CI=[nan, nan]","nan  CI=[nan, nan]","0.23  CI=[nan, nan]","nan  CI=[nan, nan]","0.32 * CI=[nan, nan]","nan  CI=[nan, nan]","0.20  CI=[nan, nan]","-0.07  CI=[nan, nan]","0.05  CI=[nan, nan]","0.17  CI=[nan, nan]","0.07  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.20  CI=[nan, nan]","0.19  CI=[nan, nan]","0.30  CI=[nan, nan]"
F4-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F,"nan  CI=[nan, nan]","0.56 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.86 *** CI=[0.58, 1.00]","0.38 * CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.70 *** CI=[0.52, 0.82]","nan  CI=[nan, nan]","0.52 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.71 *** CI=[0.51, 0.84]","nan  CI=[nan, nan]","0.53 *** CI=[nan, nan]","0.31 * CI=[nan, nan]","0.36 * CI=[nan, nan]","0.61 *** CI=[0.37, 0.76]","0.48 ** CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.53 *** CI=[0.32, 0.70]","0.67 *** CI=[0.45, 0.82]","0.94 *** CI=[0.86, 0.98]"
A1-D,"nan  CI=[nan, nan]","0.53 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.53 *** CI=[0.26, 0.75]","0.32 * CI=[nan, nan]","nan  CI=[nan, nan]","0.70 *** CI=[0.52, 0.82]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.59 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.99 *** CI=[0.97, 1.00]","nan  CI=[nan, nan]","0.36 * CI=[nan, nan]","0.10  CI=[nan, nan]","0.17  CI=[nan, nan]","0.36 * CI=[0.07, 0.62]","0.25  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.36 * CI=[0.03, 0.65]","0.41 ** CI=[0.15, 0.62]","0.79 *** CI=[0.63, 0.91]"
A1-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
A1.2,"nan  CI=[nan, nan]","0.90 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.18  CI=[-0.17, 0.47]","0.23  CI=[nan, nan]","nan  CI=[nan, nan]","0.52 *** CI=[nan, nan]","0.59 *** CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.70 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.73 *** CI=[nan, nan]","0.32 * CI=[nan, nan]","0.09  CI=[nan, nan]","0.63 *** CI=[nan, nan]","0.13  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.73 *** CI=[nan, nan]","0.63 *** CI=[nan, nan]","0.60 *** CI=[nan, nan]"
A2-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
