KG id,KG name,KG SPARQL endpoint,RDF dump link,Ontology,F1-M Unique and persistent ID,F1-D URIs dereferenceability,F2a-M - Metadata availability via standard primary sources,F2b-M Metadata availability for all the attributes covered in the FAIR score computation,F3-M Data referrable via a DOI,F4-M Metadata registered in a searchable engine,F score,A1-D Working access point(s),A1-M Metadata availability via working primary sources,A1.2 Authentication & HTTPS support,A2-M Registered in search engines,A score,I1-D Standard & open representation format,I1-M Metadata are described with VoID/DCAT predicates,I2 Use of FAIR vocabularies,I3-D Degree of connection,I score,R1.1 Machine- or human-readable license retrievable via any primary source,"R1.2 Publisher information, such as authors, contributors, publishers, and sources",R1.3-D Data organized in a standardized way,R1.3-M Metadata are described with VoID/DCAT predicates,R score,FAIR score
apertium-rdf,Apertium RDF,http://linguistic.linkeddata.es/apertium/sparql-editor/,[],False,1,0.0,1,0.56,0,1,0.59,0.5,1,0.0,1,0.62,1,0,0.0,1,0.5,1,1,1,0,0.75,2.46
apertium-rdf-ca-it,Apertium RDF CA-IT,http://linguistic.linkeddata.es/sparql/,['https://old.datahub.io/dataset/5f0bdc5d-a515-4d40-87a4-521606fd2ff8/resource/ad1382ce-9a76-420a-97d6-ee05bbc7aa2d/download/apertium-ca-it_rdf.zip'],False,1,0.0,1,0.44,0,1,0.57,1.0,1,1.0,1,1.0,1,1,0.0,1,0.75,1,1,1,1,1.0,3.32
apertium-rdf-en-ca,Apertium RDF EN-CA,http://linguistic.linkeddata.es/sparql/,['https://old.datahub.io/dataset/650cc2a5-ba56-4f7e-b274-77c518c8095a/resource/b14c0fd7-af25-4e3d-a2af-d26203009994/download/apertium-en-ca-pol-rdf.zip'],False,1,0.0,1,0.44,0,1,0.57,1.0,1,1.0,1,1.0,1,1,0.0,1,0.75,1,1,1,1,1.0,3.32
apertium-rdf-en-es,Apertium RDF EN-ES,http://linguistic.linkeddata.es/sparql/,['https://old.datahub.io/dataset/47e9d8cc-5da9-4c02-960e-c00abee2b0d9/resource/6fa03351-3311-422d-8fa5-4c9ed4eee13b/download/apertium-en-es-rdf.zip'],False,1,0.0,1,0.56,0,1,0.59,1.0,1,1.0,1,1.0,1,1,0.0,1,0.75,1,1,1,1,1.0,3.34
apertium-rdf-en-gl,Apertium RDF EN-GL,http://linguistic.linkeddata.es/sparql/,['https://old.datahub.io/dataset/ee4190ea-5f24-4cae-a34d-47386ec41c10/resource/4b7d04c1-0401-4d56-ba5d-50492a8ee99a/download/apertium-en-gl-rdf.zip'],False,1,0.0,1,0.56,0,1,0.59,1.0,1,1.0,1,1.0,1,1,0.0,1,0.75,1,1,1,1,1.0,3.34
apertium-rdf-eo-ca,Apertium RDF EO-CA,http://linguistic.linkeddata.es/sparql/,['https://old.datahub.io/dataset/eceeaaed-8e0b-40cc-9dbd-b823fc1f78d3/resource/2262b20e-4df2-49c6-8ed8-6144847908e4/download/apertium-eo-ca-rdf.zip'],False,1,0.0,1,0.44,0,1,0.57,1.0,1,1.0,1,1.0,1,1,0.0,1,0.75,1,1,1,1,1.0,3.32
apertium-rdf-eo-en,Apertium RDF EO-EN,http://linguistic.linkeddata.es/sparql/,['https://old.datahub.io/dataset/c6e286f0-ccec-49a4-8331-3580faf41352/resource/8e3287fc-3fe3-43bf-ade8-8fb854695f5d/download/apertium-eo-en-rdf.zip'],False,1,0.0,1,0.44,0,1,0.57,1.0,1,1.0,1,1.0,1,1,0.0,1,0.75,1,1,1,1,1.0,3.32
apertium-rdf-eo-es,Apertium RDF EO-ES,http://linguistic.linkeddata.es/sparql/,['https://old.datahub.io/dataset/c2bf8480-b8d6-4e93-adf1-e03a13bb65be/resource/23afc40d-faaa-4ba3-9532-c3104a81a38a/download/apertium-eo-es-rdf.zip'],False,1,0.0,1,0.44,0,1,0.57,1.0,1,1.0,1,1.0,1,1,0.0,1,0.75,1,1,1,1,1.0,3.32
apertium-rdf-eo-fr,Apertium RDF EO-FR,http://linguistic.linkeddata.es/sparql/,['https://old.datahub.io/dataset/aee9967b-cc91-4a44-a2ae-16b3ce7ce118/resource/f88df635-ee47-4a4d-9e44-cf4d92714d5e/download/apertium-eo-fr-rdf.zip'],False,1,0.0,1,0.44,0,1,0.57,1.0,1,1.0,1,1.0,1,1,0.0,1,0.75,1,1,1,1,1.0,3.32
apertium-rdf-es-an,Apertium RDF ES-AN,http://linguistic.linkeddata.es/sparql/,['https://old.datahub.io/dataset/b1171ccc-b21b-438d-a44a-3ae2b58798ef/resource/ac5b0b3c-212d-4a0e-ab8f-31963378d327/download/apertium-es-an-rdf.zip'],False,1,0.0,1,0.44,0,1,0.57,1.0,1,1.0,1,1.0,1,1,0.0,1,0.75,1,1,1,1,1.0,3.32
apertium-rdf-es-ast,Apertium RDF ES-AST,http://linguistic.linkeddata.es/sparql/,['https://old.datahub.io/dataset/e5021641-cb3a-494b-a786-3e20ad4368aa/resource/58c27c16-d9e6-4e4f-8cab-23e37c3cc6c7/download/apertium-es-ast-rdf.zip'],False,1,0.0,1,0.44,0,1,0.57,1.0,1,1.0,1,1.0,1,1,0.0,1,0.75,1,1,1,1,1.0,3.32
apertium-rdf-es-ca,Apertium RDF ES-CA,http://linguistic.linkeddata.es/sparql/,['https://old.datahub.io/dataset/144f420d-7d7a-436a-8522-86c3a2f9d7d1/resource/0e312c8d-4cb8-4027-8da7-b2922ce85563/download/apertium-es-ca-rdf.zip'],False,1,0.0,1,0.44,0,1,0.57,1.0,1,1.0,1,1.0,1,1,0.0,1,0.75,1,1,1,1,1.0,3.32
apertium-rdf-es-gl,Apertium RDF ES-GL,http://linguistic.linkeddata.es/sparql/,['https://old.datahub.io/dataset/10bc1401-7976-45e0-8271-61a824b249d6/resource/bdd9fb3d-f17f-4080-bb33-82eb9ce3eec5/download/apertium-es-gl-rdf.zip'],False,1,0.0,1,0.56,0,1,0.59,1.0,1,1.0,1,1.0,1,1,0.0,1,0.75,1,1,1,1,1.0,3.34
