,F1-M,F1-D,F2a-M,F2b-M,F3-M,F4-M,F,A1-D,A1-M,A1.2,A2-M,A,I1-D,I1-M,I2,I3-D,I,R1.1,R1.2,R1.3-D,R1.3-M,R,FAIR
F1-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F1-D,"nan  CI=[nan, nan]","1.00 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.17  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.25 ** CI=[nan, nan]","0.11  CI=[nan, nan]","nan  CI=[nan, nan]","0.25 ** CI=[nan, nan]","nan  CI=[nan, nan]","0.19 * CI=[nan, nan]","nan  CI=[nan, nan]","0.06  CI=[nan, nan]","nan  CI=[nan, nan]","0.01  CI=[nan, nan]","0.06  CI=[nan, nan]","0.05  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.06  CI=[nan, nan]","0.07  CI=[nan, nan]","0.17  CI=[nan, nan]"
F2a-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F2b-M,"nan  CI=[nan, nan]","0.17  CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[0.99, 1.00]","0.55 *** CI=[0.43, 0.65]","nan  CI=[nan, nan]","0.65 *** CI=[0.53, 0.77]","nan  CI=[nan, nan]","0.69 *** CI=[0.58, 0.77]","nan  CI=[nan, nan]","0.81 *** CI=[0.72, 0.88]","nan  CI=[nan, nan]","0.16  CI=[nan, nan]","0.81 *** CI=[0.72, 0.88]","0.47 *** CI=[0.32, 0.59]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.81 *** CI=[0.71, 0.88]","0.84 *** CI=[0.75, 0.92]","0.93 *** CI=[0.89, 0.95]"
F3-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F4-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F,"nan  CI=[nan, nan]","0.25 ** CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[0.99, 1.00]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.55 *** CI=[0.42, 0.65]","nan  CI=[nan, nan]","0.66 *** CI=[0.54, 0.75]","nan  CI=[nan, nan]","0.69 *** CI=[0.58, 0.77]","nan  CI=[nan, nan]","0.79 *** CI=[0.69, 0.87]","nan  CI=[nan, nan]","0.16  CI=[nan, nan]","0.80 *** CI=[0.71, 0.89]","0.47 *** CI=[0.32, 0.59]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.79 *** CI=[0.70, 0.88]","0.83 *** CI=[0.74, 0.91]","0.92 *** CI=[0.89, 0.95]"
A1-D,"nan  CI=[nan, nan]","0.11  CI=[nan, nan]","nan  CI=[nan, nan]","0.55 *** CI=[0.43, 0.65]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.55 *** CI=[0.42, 0.65]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.44 *** CI=[0.34, 0.54]","nan  CI=[nan, nan]","0.91 *** CI=[0.87, 0.95]","nan  CI=[nan, nan]","0.53 *** CI=[0.43, 0.63]","nan  CI=[nan, nan]","-0.08  CI=[nan, nan]","0.51 *** CI=[0.40, 0.62]","-0.01  CI=[-0.19, 0.17]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.53 *** CI=[0.44, 0.64]","0.41 *** CI=[0.23, 0.56]","0.72 *** CI=[0.61, 0.81]"
A1-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
A1.2,"nan  CI=[nan, nan]","0.25 ** CI=[nan, nan]","nan  CI=[nan, nan]","0.65 *** CI=[0.53, 0.77]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.66 *** CI=[0.54, 0.75]","0.44 *** CI=[0.34, 0.54]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.77 *** CI=[0.67, 0.84]","nan  CI=[nan, nan]","0.78 *** CI=[0.66, 0.90]","nan  CI=[nan, nan]","0.05  CI=[nan, nan]","0.78 *** CI=[0.66, 0.88]","0.21 * CI=[0.14, 0.27]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.78 *** CI=[0.64, 0.90]","0.70 *** CI=[0.58, 0.81]","0.73 *** CI=[0.62, 0.80]"
A2-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
A,"nan  CI=[nan, nan]","0.19 * CI=[nan, nan]","nan  CI=[nan, nan]","0.69 *** CI=[0.58, 0.77]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.69 *** CI=[0.58, 0.77]","0.91 *** CI=[0.87, 0.95]","nan  CI=[nan, nan]","0.77 *** CI=[0.67, 0.84]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.74 *** CI=[0.65, 0.81]","nan  CI=[nan, nan]","-0.03  CI=[nan, nan]","0.72 *** CI=[0.61, 0.80]","0.09  CI=[-0.07, 0.22]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.74 *** CI=[0.65, 0.80]","0.61 *** CI=[0.46, 0.73]","0.84 *** CI=[0.74, 0.91]"
I1-D,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
I1-M,"nan  CI=[nan, nan]","0.06  CI=[nan, nan]","nan  CI=[nan, nan]","0.81 *** CI=[0.72, 0.88]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.79 *** CI=[0.69, 0.87]","0.53 *** CI=[0.43, 0.63]","nan  CI=[nan, nan]","0.78 *** CI=[0.66, 0.90]","nan  CI=[nan, nan]","0.74 *** CI=[0.65, 0.81]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.06  CI=[nan, nan]","0.99 *** CI=[0.96, 1.00]","0.25 ** CI=[0.17, 0.32]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.89 *** CI=[0.82, 0.94]","0.80 *** CI=[0.73, 0.86]"
I2,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
I3-D,"nan  CI=[nan, nan]","0.01  CI=[nan, nan]","nan  CI=[nan, nan]","0.16  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.16  CI=[nan, nan]","-0.08  CI=[nan, nan]","nan  CI=[nan, nan]","0.05  CI=[nan, nan]","nan  CI=[nan, nan]","-0.03  CI=[nan, nan]","nan  CI=[nan, nan]","0.06  CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[nan, nan]","0.20 * CI=[nan, nan]","-0.04  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.06  CI=[nan, nan]","0.03  CI=[nan, nan]","0.14  CI=[nan, nan]"
