,F1-M,F1-D,F2a-M,F2b-M,F3-M,F4-M,F,A1-D,A1-M,A1.2,A2-M,A,I1-D,I1-M,I2,I3-D,I,R1.1,R1.2,R1.3-D,R1.3-M,R,FAIR
F1-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F1-D,"nan  CI=[nan, nan]","1.00 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.02  CI=[nan, nan]","-0.01  CI=[nan, nan]","nan  CI=[nan, nan]","0.22 ** CI=[nan, nan]","0.19 * CI=[nan, nan]","nan  CI=[nan, nan]","0.81 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.25 ** CI=[nan, nan]","nan  CI=[nan, nan]","0.07  CI=[nan, nan]","nan  CI=[nan, nan]","0.01  CI=[nan, nan]","0.07  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.07  CI=[nan, nan]","0.07  CI=[nan, nan]","0.17 * CI=[nan, nan]"
F2a-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F2b-M,"nan  CI=[nan, nan]","0.02  CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.16  CI=[nan, nan]","nan  CI=[nan, nan]","0.97 *** CI=[0.92, 1.00]","0.33 *** CI=[0.21, 0.45]","nan  CI=[nan, nan]","0.11  CI=[nan, nan]","nan  CI=[nan, nan]","0.33 *** CI=[0.20, 0.46]","nan  CI=[nan, nan]","0.24 ** CI=[0.10, 0.38]","nan  CI=[nan, nan]","0.07  CI=[nan, nan]","0.25 ** CI=[0.12, 0.38]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.24 ** CI=[0.11, 0.37]","0.24 ** CI=[0.10, 0.36]","0.68 *** CI=[0.55, 0.78]"
F3-M,"nan  CI=[nan, nan]","-0.01  CI=[nan, nan]","nan  CI=[nan, nan]","0.16  CI=[nan, nan]","1.00 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.16  CI=[nan, nan]","-0.06  CI=[nan, nan]","nan  CI=[nan, nan]","-0.01  CI=[nan, nan]","nan  CI=[nan, nan]","-0.06  CI=[nan, nan]","nan  CI=[nan, nan]","-0.05  CI=[nan, nan]","nan  CI=[nan, nan]","0.01  CI=[nan, nan]","-0.05  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","-0.05  CI=[nan, nan]","-0.05  CI=[nan, nan]","0.04  CI=[nan, nan]"
F4-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F,"nan  CI=[nan, nan]","0.22 ** CI=[nan, nan]","nan  CI=[nan, nan]","0.97 *** CI=[0.92, 1.00]","0.16  CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.36 *** CI=[0.23, 0.49]","nan  CI=[nan, nan]","0.27 ** CI=[nan, nan]","nan  CI=[nan, nan]","0.38 *** CI=[0.25, 0.50]","nan  CI=[nan, nan]","0.27 ** CI=[0.12, 0.40]","nan  CI=[nan, nan]","0.08  CI=[nan, nan]","0.27 ** CI=[0.14, 0.39]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.27 ** CI=[0.13, 0.41]","0.27 ** CI=[0.12, 0.40]","0.71 *** CI=[0.58, 0.81]"
A1-D,"nan  CI=[nan, nan]","0.19 * CI=[nan, nan]","nan  CI=[nan, nan]","0.33 *** CI=[0.21, 0.45]","-0.06  CI=[nan, nan]","nan  CI=[nan, nan]","0.36 *** CI=[0.23, 0.49]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.23 ** CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[0.99, 1.00]","nan  CI=[nan, nan]","0.51 *** CI=[0.36, 0.66]","nan  CI=[nan, nan]","-0.19 * CI=[nan, nan]","0.45 *** CI=[0.26, 0.64]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.51 *** CI=[0.35, 0.66]","0.51 *** CI=[0.35, 0.66]","0.72 *** CI=[0.63, 0.80]"
A1-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
A1.2,"nan  CI=[nan, nan]","0.81 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.11  CI=[nan, nan]","-0.01  CI=[nan, nan]","nan  CI=[nan, nan]","0.27 ** CI=[nan, nan]","0.23 ** CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.31 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.14  CI=[nan, nan]","nan  CI=[nan, nan]","0.02  CI=[nan, nan]","0.14  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.14  CI=[nan, nan]","0.14  CI=[nan, nan]","0.23 ** CI=[nan, nan]"
