KG id,KG name,KG SPARQL endpoint,RDF dump link,Ontology,F1-M Unique and persistent ID,F1-D URIs dereferenceability,F2a-M - Metadata availability via standard primary sources,F2b-M Metadata availability for all the attributes covered in the FAIR score computation,F3-M Data referrable via a DOI,F4-M Metadata registered in a searchable engine,F score,A1-D Working access point(s),A1-M Metadata availability via working primary sources,A1.2 Authentication & HTTPS support,A2-M Registered in search engines,A score,I1-D Standard & open representation format,I1-M Metadata are described with VoID/DCAT predicates,I2 Use of FAIR vocabularies,I3-D Degree of connection,I score,R1.1 Machine- or human-readable license retrievable via any primary source,"R1.2 Publisher information, such as authors, contributors, publishers, and sources",R1.3-D Data organized in a standardized way,R1.3-M Metadata are described with VoID/DCAT predicates,R score,FAIR score
ASCDC-CTS-TV-Programs,The Chinese Television System Educational and Cultural Programs Digital Archive (CTS-TV-Programs),,[],False,1,0.0,1,0.56,0,1,0.59,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.34
ASCDC-Tibetan-Audio-Archive,The Tibetan Collection Audio Archive Research Project (Tibetan Audio Archive),,[],False,1,0.0,1,0.56,0,1,0.59,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.34
bbc-music,BBC Music,http://api.talis.com/stores/bbc-backstage/services/sparql,[],False,1,0.0,1,0.56,0,1,0.59,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,0,1,1,0,0.5,2.09
bbc-programmes,BBC Programmes,http://api.talis.com/stores/bbc-backstage/services/sparql,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
bbc-wildlife-finder,BBC Wildlife Finder,http://api.talis.com/stores/bbc-wildlife/services/sparql,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
betweenourworlds,Between Our Worlds,,"['https://datadump.betweenourworlds.org/2018-09.hdt', 'https://datadump.betweenourworlds.org/2018-10.hdt', 'https://datadump.betweenourworlds.org/2018-11.hdt', 'https://datadump.betweenourworlds.org/2018-12.hdt', 'https://datadump.betweenourworlds.org/2019-01.hdt', 'https://datadump.betweenourworlds.org/2019-06.hdt', 'https://datadump.betweenourworlds.org/2019-07.hdt', 'https://datadump.betweenourworlds.org/2019-08.hdt', 'https://datadump.betweenourworlds.org/2019-09.hdt', 'https://datadump.betweenourworlds.org/2019-10.hdt', 'https://datadump.betweenourworlds.org/2019-11.hdt', 'https://datadump.betweenourworlds.org/2019-12.hdt', 'https://datadump.betweenourworlds.org/2020-01.hdt', 'https://datadump.betweenourworlds.org/2020-02.hdt', 'https://datadump.betweenourworlds.org/2020-03.hdt', 'https://datadump.betweenourworlds.org/2020-04.hdt', 'https://datadump.betweenourworlds.org/2020-05.hdt', 'https://datadump.betweenourworlds.org/2020-06.hdt', 'https://datadump.betweenourworlds.org/2020-07.hdt', 'https://datadump.betweenourworlds.org/2020-08.hdt', 'https://datadump.betweenourworlds.org/2020-09.hdt', 'https://datadump.betweenourworlds.org/2020-10.hdt', 'https://datadump.betweenourworlds.org/2020-11.hdt', 'https://datadump.betweenourworlds.org/2020-12.hdt', 'https://datadump.betweenourworlds.org/2021-01.hdt', 'https://datadump.betweenourworlds.org/2021-02.hdt', 'https://datadump.betweenourworlds.org/2021-03.hdt', 'https://datadump.betweenourworlds.org/2021-04.hdt', 'https://datadump.betweenourworlds.org/2021-05.hdt', 'https://datadump.betweenourworlds.org/2021-06.hdt', 'https://datadump.betweenourworlds.org/2021-07.hdt', 'https://datadump.betweenourworlds.org/2021-08.hdt', 'https://datadump.betweenourworlds.org/2021-09.hdt', 'https://datadump.betweenourworlds.org/2021-10.hdt', 'https://datadump.betweenourworlds.org/2021-11.hdt', 'https://datadump.betweenourworlds.org/2021-12.hdt', 'https://datadump.betweenourworlds.org/2022-01.hdt', 'https://datadump.betweenourworlds.org/2022-02.hdt', 'https://datadump.betweenourworlds.org/2022-03.hdt', 'https://datadump.betweenourworlds.org/2022-04.hdt', 'https://datadump.betweenourworlds.org/2022-05.hdt']",False,1,0.0,1,0.67,0,1,0.61,1.0,1,0.0,1,0.75,1,0,0.0,1,0.5,1,1,1,0,0.75,2.61
bricklink,Bricklink,http://api.kasabi.com/dataset/bricklink/apis/sparql,['http://archive.org/download/kasabi/bricklink.gz'],False,1,0.0,1,0.78,0,1,0.63,1.0,1,0.0,1,0.75,1,0,0.0,1,0.5,1,1,1,0,0.75,2.63
chronicling-america,Chronicling America,,[],False,1,0.0,1,0.56,0,1,0.59,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.34
cinematheque-quebecoise-linked-open-data,Cinémathèque québécoise Linked Open Data,https://data.cinematheque.qc.ca/sparql,"['https://data.cinematheque.qc.ca/resource/Person28485', 'https://data.cinematheque.qc.ca/data/Person28485', 'https://data.cinematheque.qc.ca/data/Person28485.ttl', 'https://data.cinematheque.qc.ca/data/Person28485.rdf', 'https://data.cinematheque.qc.ca/void/Dataset', 'https://data.cinematheque.qc.ca/doc/datasets/cmtq-dataset.ttl.gz', 'https://data.cinematheque.qc.ca/doc/datasets/cmtq-dataset.nt.gz', 'https://data.cinematheque.qc.ca/doc/datasets/cmtq-dataset.hdt', 'https://data.cinematheque.qc.ca/doc/lod/datasets']",False,1,1.0,1,0.78,0,1,0.8,1.0,1,1.0,1,1.0,1,1,0.6,1,0.9,1,1,1,1,1.0,3.7
core,CORE - Semantic Similarity of Open Access publications,http://core.kmi.open.ac.uk/squery,[],False,1,0.0,1,0.67,0,1,0.61,0.5,1,0.0,1,0.62,1,0,0.0,1,0.5,1,1,1,0,0.75,2.48
