,F1-M,F1-D,F2a-M,F2b-M,F3-M,F4-M,F,A1-D,A1-M,A1.2,A2-M,A,I1-D,I1-M,I2,I3-D,I,R1.1,R1.2,R1.3-D,R,FAIR,R1.3-M
I1-D,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
I1-M,"nan  CI=[nan, nan]","1.00 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.28 * CI=[nan, nan]","-0.02  CI=[nan, nan]","nan  CI=[nan, nan]","0.28 * CI=[nan, nan]","0.26  CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.32 * CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[nan, nan]","1.00 *** CI=[nan, nan]","0.03  CI=[nan, nan]","0.51 *** CI=[nan, nan]","0.29 * CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.35 ** CI=[nan, nan]","0.29 * CI=[nan, nan]","1.00 *** CI=[nan, nan]"
I2,"nan  CI=[nan, nan]","1.00 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.28 * CI=[nan, nan]","-0.02  CI=[nan, nan]","nan  CI=[nan, nan]","0.28 * CI=[nan, nan]","0.26  CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.32 * CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[nan, nan]","1.00 *** CI=[nan, nan]","0.03  CI=[nan, nan]","0.51 *** CI=[nan, nan]","0.29 * CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.35 ** CI=[nan, nan]","0.29 * CI=[nan, nan]","1.00 *** CI=[nan, nan]"
I3-D,"nan  CI=[nan, nan]","0.03  CI=[nan, nan]","nan  CI=[nan, nan]","-0.02  CI=[nan, nan]","0.03  CI=[nan, nan]","nan  CI=[nan, nan]","-0.02  CI=[nan, nan]","-0.07  CI=[nan, nan]","nan  CI=[nan, nan]","0.03  CI=[nan, nan]","nan  CI=[nan, nan]","-0.07  CI=[nan, nan]","nan  CI=[nan, nan]","0.03  CI=[nan, nan]","0.03  CI=[nan, nan]","1.00 *** CI=[nan, nan]","0.87 *** CI=[nan, nan]","-0.51 *** CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","-0.50 *** CI=[nan, nan]","-0.03  CI=[nan, nan]","0.03  CI=[nan, nan]"
I,"nan  CI=[nan, nan]","0.51 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.12  CI=[nan, nan]","0.02  CI=[nan, nan]","nan  CI=[nan, nan]","0.11  CI=[nan, nan]","0.07  CI=[nan, nan]","nan  CI=[nan, nan]","0.51 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.10  CI=[nan, nan]","nan  CI=[nan, nan]","0.51 *** CI=[nan, nan]","0.51 *** CI=[nan, nan]","0.87 *** CI=[nan, nan]","1.00 *** CI=[nan, nan]","-0.30 * CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","-0.26  CI=[nan, nan]","0.12  CI=[nan, nan]","0.51 *** CI=[nan, nan]"
R1.1,"nan  CI=[nan, nan]","0.29 * CI=[nan, nan]","nan  CI=[nan, nan]","0.62 *** CI=[0.34, 0.83]","0.29 * CI=[nan, nan]","nan  CI=[nan, nan]","0.62 *** CI=[0.34, 0.82]","0.32 * CI=[0.01, 0.60]","nan  CI=[nan, nan]","0.29 * CI=[nan, nan]","nan  CI=[nan, nan]","0.34 * CI=[0.02, 0.64]","nan  CI=[nan, nan]","0.29 * CI=[nan, nan]","0.29 * CI=[nan, nan]","-0.51 *** CI=[nan, nan]","-0.30 * CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[0.99, 1.00]","0.63 *** CI=[0.33, 0.83]","0.29 * CI=[nan, nan]"
R1.2,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
R1.3-D,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
R,"nan  CI=[nan, nan]","0.35 ** CI=[nan, nan]","nan  CI=[nan, nan]","0.63 *** CI=[0.34, 0.83]","0.28 * CI=[nan, nan]","nan  CI=[nan, nan]","0.63 *** CI=[0.31, 0.83]","0.33 * CI=[0.00, 0.62]","nan  CI=[nan, nan]","0.35 ** CI=[nan, nan]","nan  CI=[nan, nan]","0.35 ** CI=[0.02, 0.64]","nan  CI=[nan, nan]","0.35 ** CI=[nan, nan]","0.35 ** CI=[nan, nan]","-0.50 *** CI=[nan, nan]","-0.26  CI=[nan, nan]","1.00 *** CI=[0.99, 1.00]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.63 *** CI=[0.32, 0.85]","0.35 ** CI=[nan, nan]"
FAIR,"nan  CI=[nan, nan]","0.29 * CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[0.98, 1.00]","0.28 * CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[0.98, 1.00]","0.82 *** CI=[0.65, 0.96]","nan  CI=[nan, nan]","0.29 * CI=[nan, nan]","nan  CI=[nan, nan]","0.82 *** CI=[0.67, 0.96]","nan  CI=[nan, nan]","0.29 * CI=[nan, nan]","0.29 * CI=[nan, nan]","-0.03  CI=[nan, nan]","0.12  CI=[nan, nan]","0.63 *** CI=[0.33, 0.83]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.63 *** CI=[0.32, 0.85]","1.00 *** CI=[1.00, 1.00]","0.29 * CI=[nan, nan]"
R1.3-M,"nan  CI=[nan, nan]","1.00 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.28 * CI=[nan, nan]","-0.02  CI=[nan, nan]","nan  CI=[nan, nan]","0.28 * CI=[nan, nan]","0.26  CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.32 * CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[nan, nan]","1.00 *** CI=[nan, nan]","0.03  CI=[nan, nan]","0.51 *** CI=[nan, nan]","0.29 * CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.35 ** CI=[nan, nan]","0.29 * CI=[nan, nan]","1.00 *** CI=[nan, nan]"
