,F1-M,F1-D,F2a-M,F2b-M,F3-M,F4-M,F,A1-D,A1-M,A1.2,A2-M,A,I1-D,I1-M,I2,I3-D,I,R1.1,R1.2,R1.3-D,R1.3-M,R,FAIR
F1-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F1-D,"nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","-0.03  CI=[-0.15, 0.10]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.35 *** CI=[0.17, 0.47]","0.56 *** CI=[0.38, 0.71]","nan  CI=[nan, nan]","0.84 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.60 *** CI=[0.42, 0.75]","nan  CI=[nan, nan]","0.54 *** CI=[0.22, 0.77]","0.14  CI=[nan, nan]","0.03  CI=[nan, nan]","0.49 *** CI=[nan, nan]","0.09  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.54 *** CI=[nan, nan]","0.29 *** CI=[0.07, 0.46]","0.38 *** CI=[nan, nan]"
F2a-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F2b-M,"nan  CI=[nan, nan]","-0.03  CI=[-0.15, 0.10]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.90 *** CI=[0.81, 0.98]","0.18 * CI=[0.01, 0.34]","nan  CI=[nan, nan]","-0.08  CI=[-0.20, 0.06]","nan  CI=[nan, nan]","0.17 * CI=[0.01, 0.32]","nan  CI=[nan, nan]","0.16 * CI=[0.01, 0.31]","0.18 * CI=[nan, nan]","0.08  CI=[nan, nan]","0.18 * CI=[-0.00, 0.32]","0.55 *** CI=[0.45, 0.64]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.16 * CI=[0.01, 0.31]","0.53 *** CI=[0.42, 0.63]","0.76 *** CI=[0.65, 0.86]"
F3-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F4-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F,"nan  CI=[nan, nan]","0.35 *** CI=[0.17, 0.47]","nan  CI=[nan, nan]","0.90 *** CI=[0.81, 0.98]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.38 *** CI=[0.21, 0.51]","nan  CI=[nan, nan]","0.24 ** CI=[0.03, 0.42]","nan  CI=[nan, nan]","0.38 *** CI=[0.22, 0.51]","nan  CI=[nan, nan]","0.31 *** CI=[0.13, 0.46]","0.24 ** CI=[nan, nan]","0.09  CI=[nan, nan]","0.32 *** CI=[0.13, 0.47]","0.53 *** CI=[0.42, 0.63]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.31 *** CI=[0.13, 0.45]","0.57 *** CI=[0.45, 0.68]","0.86 *** CI=[0.78, 0.92]"
A1-D,"nan  CI=[nan, nan]","0.56 *** CI=[0.38, 0.71]","nan  CI=[nan, nan]","0.18 * CI=[0.01, 0.34]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.38 *** CI=[0.21, 0.51]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.66 *** CI=[0.50, 0.81]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.43 *** CI=[0.20, 0.61]","0.05  CI=[nan, nan]","-0.07  CI=[nan, nan]","0.35 *** CI=[0.09, 0.58]","0.21 ** CI=[0.09, 0.31]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.43 *** CI=[0.21, 0.63]","0.35 *** CI=[0.20, 0.47]","0.57 *** CI=[0.45, 0.67]"
A1-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
A1.2,"nan  CI=[nan, nan]","0.84 *** CI=[nan, nan]","nan  CI=[nan, nan]","-0.08  CI=[-0.20, 0.06]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.24 ** CI=[0.03, 0.42]","0.66 *** CI=[0.50, 0.81]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.71 *** CI=[0.55, 0.83]","nan  CI=[nan, nan]","0.61 *** CI=[0.35, 0.83]","0.11  CI=[nan, nan]","0.04  CI=[nan, nan]","0.56 *** CI=[0.31, 0.76]","0.13  CI=[0.01, 0.22]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.61 *** CI=[0.35, 0.82]","0.35 *** CI=[0.15, 0.51]","0.44 *** CI=[0.31, 0.55]"
