,F1-M,F1-D,F2a-M,F2b-M,F3-M,F4-M,F,A1-D,A1-M,A1.2,A2-M,A,I1-D,I1-M,I2,I3-D,I,R1.1,R1.2,R1.3-D,R1.3-M,R,FAIR
F1-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F1-D,"nan  CI=[nan, nan]","1.00 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.00  CI=[-0.09, 0.13]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.38 *** CI=[nan, nan]","0.46 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.66 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.49 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.56 *** CI=[0.29, 0.79]","0.35 *** CI=[nan, nan]","0.02  CI=[nan, nan]","0.54 *** CI=[nan, nan]","0.14  CI=[0.08, 0.19]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.56 *** CI=[0.28, 0.76]","0.35 *** CI=[nan, nan]","0.36 *** CI=[0.20, 0.47]"
F2a-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F2b-M,"nan  CI=[nan, nan]","0.00  CI=[-0.09, 0.13]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.91 *** CI=[0.83, 0.98]","0.21 ** CI=[0.04, 0.37]","nan  CI=[nan, nan]","-0.08  CI=[-0.22, 0.08]","nan  CI=[nan, nan]","0.18 * CI=[0.01, 0.35]","nan  CI=[nan, nan]","0.08  CI=[-0.10, 0.25]","0.18 * CI=[nan, nan]","0.18 * CI=[nan, nan]","0.14  CI=[-0.05, 0.31]","0.47 *** CI=[0.36, 0.56]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.08  CI=[-0.09, 0.25]","0.42 *** CI=[0.29, 0.54]","0.69 *** CI=[0.56, 0.80]"
F3-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F4-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F,"nan  CI=[nan, nan]","0.38 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.91 *** CI=[0.83, 0.98]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.37 *** CI=[0.18, 0.52]","nan  CI=[nan, nan]","0.18 * CI=[-0.05, 0.37]","nan  CI=[nan, nan]","0.36 *** CI=[0.18, 0.52]","nan  CI=[nan, nan]","0.28 *** CI=[0.06, 0.45]","0.27 *** CI=[nan, nan]","0.18 * CI=[nan, nan]","0.33 *** CI=[0.12, 0.49]","0.49 *** CI=[0.39, 0.59]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.28 *** CI=[0.07, 0.46]","0.52 *** CI=[0.39, 0.65]","0.78 *** CI=[0.66, 0.87]"
A1-D,"nan  CI=[nan, nan]","0.46 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.21 ** CI=[0.04, 0.37]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.37 *** CI=[0.18, 0.52]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.69 *** CI=[0.54, 0.81]","nan  CI=[nan, nan]","1.00 *** CI=[0.99, 1.00]","nan  CI=[nan, nan]","0.47 *** CI=[0.26, 0.65]","0.13  CI=[nan, nan]","0.06  CI=[nan, nan]","0.45 *** CI=[0.23, 0.63]","0.24 ** CI=[0.13, 0.33]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.47 *** CI=[0.24, 0.65]","0.40 *** CI=[0.25, 0.52]","0.65 *** CI=[0.54, 0.74]"
A1-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
A1.2,"nan  CI=[nan, nan]","0.66 *** CI=[nan, nan]","nan  CI=[nan, nan]","-0.08  CI=[-0.22, 0.08]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.18 * CI=[-0.05, 0.37]","0.69 *** CI=[0.54, 0.81]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.74 *** CI=[0.60, 0.84]","nan  CI=[nan, nan]","0.70 *** CI=[0.47, 0.87]","0.22 ** CI=[nan, nan]","0.04  CI=[nan, nan]","0.66 *** CI=[0.45, 0.85]","0.16  CI=[0.04, 0.24]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.70 *** CI=[0.47, 0.88]","0.43 *** CI=[0.25, 0.58]","0.51 *** CI=[0.39, 0.61]"
A2-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
A,"nan  CI=[nan, nan]","0.49 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.18 * CI=[0.01, 0.35]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.36 *** CI=[0.18, 0.52]","1.00 *** CI=[0.99, 1.00]","nan  CI=[nan, nan]","0.74 *** CI=[0.60, 0.84]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.50 *** CI=[0.29, 0.68]","0.15  CI=[nan, nan]","0.06  CI=[nan, nan]","0.48 *** CI=[0.28, 0.66]","0.24 ** CI=[0.12, 0.33]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.50 *** CI=[0.30, 0.68]","0.41 *** CI=[0.25, 0.53]","0.65 *** CI=[0.54, 0.74]"
I1-D,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
I1-M,"nan  CI=[nan, nan]","0.56 *** CI=[0.29, 0.79]","nan  CI=[nan, nan]","0.08  CI=[-0.10, 0.25]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.28 *** CI=[0.06, 0.45]","0.47 *** CI=[0.26, 0.65]","nan  CI=[nan, nan]","0.70 *** CI=[0.47, 0.87]","nan  CI=[nan, nan]","0.50 *** CI=[0.29, 0.68]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.50 *** CI=[nan, nan]","0.04  CI=[nan, nan]","0.94 *** CI=[0.85, 1.00]","0.21 * CI=[0.15, 0.27]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.60 *** CI=[0.47, 0.70]","0.52 *** CI=[0.39, 0.62]"
I2,"nan  CI=[nan, nan]","0.35 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.18 * CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.27 *** CI=[nan, nan]","0.13  CI=[nan, nan]","nan  CI=[nan, nan]","0.22 ** CI=[nan, nan]","nan  CI=[nan, nan]","0.15  CI=[nan, nan]","nan  CI=[nan, nan]","0.50 *** CI=[nan, nan]","1.00 *** CI=[nan, nan]","0.02  CI=[nan, nan]","0.51 *** CI=[nan, nan]","0.10  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.50 *** CI=[nan, nan]","0.30 *** CI=[nan, nan]","0.26 *** CI=[nan, nan]"
I3-D,"nan  CI=[nan, nan]","0.02  CI=[nan, nan]","nan  CI=[nan, nan]","0.18 * CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.18 * CI=[nan, nan]","0.06  CI=[nan, nan]","nan  CI=[nan, nan]","0.04  CI=[nan, nan]","nan  CI=[nan, nan]","0.06  CI=[nan, nan]","nan  CI=[nan, nan]","0.04  CI=[nan, nan]","0.02  CI=[nan, nan]","1.00 *** CI=[nan, nan]","0.36 *** CI=[nan, nan]","-0.07  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.04  CI=[nan, nan]","-0.04  CI=[nan, nan]","0.18 * CI=[nan, nan]"
I,"nan  CI=[nan, nan]","0.54 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.14  CI=[-0.05, 0.31]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.33 *** CI=[0.12, 0.49]","0.45 *** CI=[0.23, 0.63]","nan  CI=[nan, nan]","0.66 *** CI=[0.45, 0.85]","nan  CI=[nan, nan]","0.48 *** CI=[0.28, 0.66]","nan  CI=[nan, nan]","0.94 *** CI=[0.85, 1.00]","0.51 *** CI=[nan, nan]","0.36 *** CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.17 * CI=[0.08, 0.25]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.94 *** CI=[0.86, 1.00]","0.54 *** CI=[0.39, 0.67]","0.54 *** CI=[0.41, 0.64]"
R1.1,"nan  CI=[nan, nan]","0.14  CI=[0.08, 0.19]","nan  CI=[nan, nan]","0.47 *** CI=[0.36, 0.56]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.49 *** CI=[0.39, 0.59]","0.24 ** CI=[0.13, 0.33]","nan  CI=[nan, nan]","0.16  CI=[0.04, 0.24]","nan  CI=[nan, nan]","0.24 ** CI=[0.12, 0.33]","nan  CI=[nan, nan]","0.21 * CI=[0.15, 0.27]","0.10  CI=[nan, nan]","-0.07  CI=[nan, nan]","0.17 * CI=[0.08, 0.25]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.21 * CI=[0.14, 0.27]","0.91 *** CI=[0.86, 0.95]","0.74 *** CI=[0.64, 0.81]"
R1.2,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
