KG id,KG name,KG SPARQL endpoint,RDF dump link,Ontology,F1-M Unique and persistent ID,F1-D URIs dereferenceability,F2a-M - Metadata availability via standard primary sources,F2b-M Metadata availability for all the attributes covered in the FAIR score computation,F3-M Data referrable via a DOI,F4-M Metadata registered in a searchable engine,F score,A1-D Working access point(s),A1-M Metadata availability via working primary sources,A1.2 Authentication & HTTPS support,A2-M Registered in search engines,A score,I1-D Standard & open representation format,I1-M Metadata are described with VoID/DCAT predicates,I2 Use of FAIR vocabularies,I3-D Degree of connection,I score,R1.1 Machine- or human-readable license retrievable via any primary source,"R1.2 Publisher information, such as authors, contributors, publishers, and sources",R1.3-D Data organized in a standardized way,R score,FAIR score,R1.3-M Metadata are described with VoID/DCAT predicates
_https:data.bioontology.orgontologiesBOFdownloadapikey=8b5b7825-538d-40e0-9e9e-5ab9274a9aeb&download_format=rdf,Indian Biodiversity,,['https://data.bioontology.org/ontologies/BOF/download?apikey=8b5b7825-538d-40e0-9e9e-5ab9274a9aeb&download_format=rdf'],False,1,0.0,1,0.44,0,1,0.57,1.0,1,0.0,1,0.75,1,0,0.0,0,0.25,1,1,1,0.75,2.32,0
addgene,Addgene,,[],False,1,0.0,1,0.33,0,1,0.56,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,0,1,1,0.5,2.06,0
agrovoc,AGROVOC,https://agrovoc.fao.org/sparql,"['https://agrovoc.fao.org/latestAgrovoc/agrovoc_core.nt.zip', 'https://agrovoc.fao.org/latestAgrovoc/agrovoc_lod.nt.zip', 'https://agrovoc.fao.org/latestAgrovoc/agrovoc_core.rdf.zip', 'https://agrovoc.fao.org/latestAgrovoc/agrovoc_lod.nq.zip']",False,1,0.7,1,0.67,0,1,0.73,1.0,1,1.0,1,1.0,1,1,0.0,1,0.75,1,1,1,1.0,3.48,1
allie-abbreviation-and-long-form-database-in-life-science,Allie Abbreviation And Long Form Database in Life Science,http://data.allie.dbcls.jp/sparql,[],False,1,0.7556,1,0.78,0,1,0.76,1.0,1,1.0,1,1.0,1,1,0.5,1,0.88,1,1,1,1.0,3.64,1
anno,ANNO,,['https://raw.githubusercontent.com/annosaxfdm/ontology/dist/anno.ttl'],False,1,0.0,1,0.67,1,1,0.78,1.0,1,0.0,1,0.75,1,0,0.0,1,0.5,1,1,1,0.75,2.78,0
arrayexpress_e-mtab-104,Transcription profiling of rat bladder after inoculation with bladder cancer cells,http://purl.org/twc/arrayexpress/virtuoso/sparql,[],False,1,0.0,1,0.56,0,1,0.59,1.0,1,0.0,1,0.75,1,0,0.0,1,0.5,0,1,1,0.5,2.34,0
ASCDC-AS-TFD-Fish-Species,Taiwan Fauna Database Research: Taiwan Digital Fish Species Database (AS-TFD-Fish-Species),,[],False,1,0.0,1,0.44,0,1,0.57,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0.75,2.32,0
ASCDC-NMMBA-Aquatic-Animals-in-Taiwan,Research on the Aquatic Animals in Taiwan and its Neighborhood Area (NMMBA-Aquatic-Animals-in-Taiwan),,[],False,1,0.0,1,0.44,0,1,0.57,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0.75,2.32,0
ASCDC-NMMBA-Fish-Otoliths,The Digital Collection of Taiwan's Fish Otoliths (NMMBA-Fish-Otoliths),,[],False,1,0.0,1,0.44,0,1,0.57,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0.75,2.32,0
bio2rdf-affymetrix,Bio2RDF::Affymetrix,http://affymetrix.bio2rdf.org/sparql,"['http://rdf.disgenet.org/download/v3.0.0/disgenetv3.0-rdf-v3.0.0-dump.tgz', 'http://rdf.disgenet.org/download/v3.0.0/geneDiseaseAssociation.ttl.gz', 'http://rdf.disgenet.org/download/v3.0.0/ncbigene-hgnc-exactMatch-ls.ttl.gz', 'http://ctdbase.org/reports/CTD_genes_diseases.tsv.gz', 'http://www.disgenet.org/ds/DisGeNET/results/all_gene_disease_associations.tar.gz', 'http://www.disgenet.org/ds/DisGeNET/results/befree_gene_disease_associations.tar.gz', 'http://www.uniprot.org/docs/humsavar.txt', 'http://rdf.disgenet.org/download/v3.0.0/disgenetv3.0-rdf-v3.0.0-dump.tgz', 'http://rdf.disgenet.org/download/v3.0.0/geneDiseaseAssociation.ttl.gz', 'http://rdf.disgenet.org/download/v3.0.0/ncbigene-hgnc-exactMatch-ls.ttl.gz']",False,1,0.0,1,0.78,0,1,0.63,1.0,1,1.0,1,1.0,1,1,0.32,1,0.83,1,1,1,1.0,3.46,1
bio2rdf-biomodels,Bio2RDF::Biomodels,http://biomodels.bio2rdf.org/sparql,"['http://rdf.disgenet.org/download/v3.0.0/disgenetv3.0-rdf-v3.0.0-dump.tgz', 'http://rdf.disgenet.org/download/v3.0.0/geneDiseaseAssociation.ttl.gz', 'http://rdf.disgenet.org/download/v3.0.0/ncbigene-hgnc-exactMatch-ls.ttl.gz', 'http://ctdbase.org/reports/CTD_genes_diseases.tsv.gz', 'http://www.disgenet.org/ds/DisGeNET/results/all_gene_disease_associations.tar.gz', 'http://www.disgenet.org/ds/DisGeNET/results/befree_gene_disease_associations.tar.gz', 'http://www.uniprot.org/docs/humsavar.txt', 'http://rdf.disgenet.org/download/v3.0.0/disgenetv3.0-rdf-v3.0.0-dump.tgz', 'http://rdf.disgenet.org/download/v3.0.0/geneDiseaseAssociation.ttl.gz', 'http://rdf.disgenet.org/download/v3.0.0/ncbigene-hgnc-exactMatch-ls.ttl.gz']",False,1,0.0,1,0.78,0,1,0.63,1.0,1,1.0,1,1.0,1,1,0.32,1,0.83,1,1,1,1.0,3.46,1
bio2rdf-bioportal,Bio2RDF::Bioportal,http://bioportal.bio2rdf.org/sparql,"['http://rdf.disgenet.org/download/v3.0.0/disgenetv3.0-rdf-v3.0.0-dump.tgz', 'http://rdf.disgenet.org/download/v3.0.0/geneDiseaseAssociation.ttl.gz', 'http://rdf.disgenet.org/download/v3.0.0/ncbigene-hgnc-exactMatch-ls.ttl.gz', 'http://ctdbase.org/reports/CTD_genes_diseases.tsv.gz', 'http://www.disgenet.org/ds/DisGeNET/results/all_gene_disease_associations.tar.gz', 'http://www.disgenet.org/ds/DisGeNET/results/befree_gene_disease_associations.tar.gz', 'http://www.uniprot.org/docs/humsavar.txt', 'http://rdf.disgenet.org/download/v3.0.0/disgenetv3.0-rdf-v3.0.0-dump.tgz', 'http://rdf.disgenet.org/download/v3.0.0/geneDiseaseAssociation.ttl.gz', 'http://rdf.disgenet.org/download/v3.0.0/ncbigene-hgnc-exactMatch-ls.ttl.gz']",False,1,0.0,1,0.78,0,1,0.63,1.0,1,1.0,1,1.0,1,1,0.32,1,0.83,1,1,1,1.0,3.46,1
bio2rdf-chembl,Bio2RDF::Chembl,http://chembl.bio2rdf.org/sparql,[],False,1,0.0,1,0.67,0,1,0.61,1.0,1,0.0,1,0.75,1,0,0.0,1,0.5,1,1,1,0.75,2.61,0
bio2rdf-clinicaltrials,Bio2RDF::Clinicaltrials,http://clinicaltrials.bio2rdf.org/sparql,"['http://rdf.disgenet.org/download/v3.0.0/disgenetv3.0-rdf-v3.0.0-dump.tgz', 'http://rdf.disgenet.org/download/v3.0.0/geneDiseaseAssociation.ttl.gz', 'http://rdf.disgenet.org/download/v3.0.0/ncbigene-hgnc-exactMatch-ls.ttl.gz', 'http://ctdbase.org/reports/CTD_genes_diseases.tsv.gz', 'http://www.disgenet.org/ds/DisGeNET/results/all_gene_disease_associations.tar.gz', 'http://www.disgenet.org/ds/DisGeNET/results/befree_gene_disease_associations.tar.gz', 'http://www.uniprot.org/docs/humsavar.txt', 'http://rdf.disgenet.org/download/v3.0.0/disgenetv3.0-rdf-v3.0.0-dump.tgz', 'http://rdf.disgenet.org/download/v3.0.0/geneDiseaseAssociation.ttl.gz', 'http://rdf.disgenet.org/download/v3.0.0/ncbigene-hgnc-exactMatch-ls.ttl.gz']",False,1,0.0,1,0.78,0,1,0.63,1.0,1,1.0,1,1.0,1,1,0.32,1,0.83,1,1,1,1.0,3.46,1
bio2rdf-ctd,Bio2RDF::Ctd,http://ctd.bio2rdf.org/sparql,"['http://rdf.disgenet.org/download/v3.0.0/disgenetv3.0-rdf-v3.0.0-dump.tgz', 'http://rdf.disgenet.org/download/v3.0.0/geneDiseaseAssociation.ttl.gz', 'http://rdf.disgenet.org/download/v3.0.0/ncbigene-hgnc-exactMatch-ls.ttl.gz', 'http://ctdbase.org/reports/CTD_genes_diseases.tsv.gz', 'http://www.disgenet.org/ds/DisGeNET/results/all_gene_disease_associations.tar.gz', 'http://www.disgenet.org/ds/DisGeNET/results/befree_gene_disease_associations.tar.gz', 'http://www.uniprot.org/docs/humsavar.txt', 'http://rdf.disgenet.org/download/v3.0.0/disgenetv3.0-rdf-v3.0.0-dump.tgz', 'http://rdf.disgenet.org/download/v3.0.0/geneDiseaseAssociation.ttl.gz', 'http://rdf.disgenet.org/download/v3.0.0/ncbigene-hgnc-exactMatch-ls.ttl.gz']",False,1,0.0,1,0.78,0,1,0.63,1.0,1,1.0,1,1.0,1,1,0.32,1,0.83,1,1,1,1.0,3.46,1
bio2rdf-dbsnp,Bio2RDF::Dbsnp,http://dbsnp.bio2rdf.org/sparql,"['http://rdf.disgenet.org/download/v3.0.0/disgenetv3.0-rdf-v3.0.0-dump.tgz', 'http://rdf.disgenet.org/download/v3.0.0/geneDiseaseAssociation.ttl.gz', 'http://rdf.disgenet.org/download/v3.0.0/ncbigene-hgnc-exactMatch-ls.ttl.gz', 'http://ctdbase.org/reports/CTD_genes_diseases.tsv.gz', 'http://www.disgenet.org/ds/DisGeNET/results/all_gene_disease_associations.tar.gz', 'http://www.disgenet.org/ds/DisGeNET/results/befree_gene_disease_associations.tar.gz', 'http://www.uniprot.org/docs/humsavar.txt', 'http://rdf.disgenet.org/download/v3.0.0/disgenetv3.0-rdf-v3.0.0-dump.tgz', 'http://rdf.disgenet.org/download/v3.0.0/geneDiseaseAssociation.ttl.gz', 'http://rdf.disgenet.org/download/v3.0.0/ncbigene-hgnc-exactMatch-ls.ttl.gz']",False,1,0.0,1,0.78,0,1,0.63,1.0,1,1.0,1,1.0,1,1,0.32,1,0.83,1,1,1,1.0,3.46,1
bio2rdf-drugbank,Bio2RDF::Drugbank,http://drugbank.bio2rdf.org/sparql,"['http://rdf.disgenet.org/download/v3.0.0/disgenetv3.0-rdf-v3.0.0-dump.tgz', 'http://rdf.disgenet.org/download/v3.0.0/geneDiseaseAssociation.ttl.gz', 'http://rdf.disgenet.org/download/v3.0.0/ncbigene-hgnc-exactMatch-ls.ttl.gz', 'http://ctdbase.org/reports/CTD_genes_diseases.tsv.gz', 'http://www.disgenet.org/ds/DisGeNET/results/all_gene_disease_associations.tar.gz', 'http://www.disgenet.org/ds/DisGeNET/results/befree_gene_disease_associations.tar.gz', 'http://www.uniprot.org/docs/humsavar.txt', 'http://rdf.disgenet.org/download/v3.0.0/disgenetv3.0-rdf-v3.0.0-dump.tgz', 'http://rdf.disgenet.org/download/v3.0.0/geneDiseaseAssociation.ttl.gz', 'http://rdf.disgenet.org/download/v3.0.0/ncbigene-hgnc-exactMatch-ls.ttl.gz']",False,1,0.0,1,0.78,0,1,0.63,1.0,1,1.0,1,1.0,1,1,0.32,1,0.83,1,1,1,1.0,3.46,1
bio2rdf-genage,Bio2RDF::Genage,http://genage.bio2rdf.org/sparql,"['http://rdf.disgenet.org/download/v3.0.0/disgenetv3.0-rdf-v3.0.0-dump.tgz', 'http://rdf.disgenet.org/download/v3.0.0/geneDiseaseAssociation.ttl.gz', 'http://rdf.disgenet.org/download/v3.0.0/ncbigene-hgnc-exactMatch-ls.ttl.gz', 'http://ctdbase.org/reports/CTD_genes_diseases.tsv.gz', 'http://www.disgenet.org/ds/DisGeNET/results/all_gene_disease_associations.tar.gz', 'http://www.disgenet.org/ds/DisGeNET/results/befree_gene_disease_associations.tar.gz', 'http://www.uniprot.org/docs/humsavar.txt', 'http://rdf.disgenet.org/download/v3.0.0/disgenetv3.0-rdf-v3.0.0-dump.tgz', 'http://rdf.disgenet.org/download/v3.0.0/geneDiseaseAssociation.ttl.gz', 'http://rdf.disgenet.org/download/v3.0.0/ncbigene-hgnc-exactMatch-ls.ttl.gz']",False,1,0.0,1,0.78,0,1,0.63,1.0,1,1.0,1,1.0,1,1,0.32,1,0.83,1,1,1,1.0,3.46,1
