,F1-M,F1-D,F2a-M,F2b-M,F3-M,F4-M,F,A1-D,A1-M,A1.2,A2-M,A,I1-D,I1-M,I2,I3-D,I,R1.1,R1.2,R1.3-D,R1.3-M,R,FAIR
F1-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F1-D,"nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.20 *** CI=[0.10, 0.28]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.30 *** CI=[0.20, 0.38]","0.44 *** CI=[0.29, 0.56]","nan  CI=[nan, nan]","0.70 *** CI=[0.53, 0.84]","nan  CI=[nan, nan]","0.46 *** CI=[0.30, 0.57]","nan  CI=[nan, nan]","0.61 *** CI=[0.37, 0.80]","0.48 *** CI=[nan, nan]","0.09  CI=[0.06, 0.12]","0.32 *** CI=[0.18, 0.42]","0.09  CI=[0.06, 0.12]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.61 *** CI=[0.38, 0.80]","0.31 *** CI=[0.19, 0.42]","0.29 *** CI=[0.19, 0.37]"
F2a-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F2b-M,"nan  CI=[nan, nan]","0.20 *** CI=[0.10, 0.28]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.99 *** CI=[0.98, 1.00]","0.30 *** CI=[0.20, 0.40]","nan  CI=[nan, nan]","0.20 *** CI=[0.10, 0.30]","nan  CI=[nan, nan]","0.30 *** CI=[0.19, 0.39]","nan  CI=[nan, nan]","0.23 *** CI=[0.11, 0.33]","0.20 *** CI=[nan, nan]","0.19 *** CI=[0.10, 0.28]","0.26 *** CI=[0.16, 0.36]","0.67 *** CI=[0.60, 0.73]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.23 *** CI=[0.11, 0.34]","0.67 *** CI=[0.59, 0.75]","0.91 *** CI=[0.87, 0.94]"
F3-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F4-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F,"nan  CI=[nan, nan]","0.30 *** CI=[0.20, 0.38]","nan  CI=[nan, nan]","0.99 *** CI=[0.98, 1.00]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.34 *** CI=[0.24, 0.44]","nan  CI=[nan, nan]","0.27 *** CI=[0.15, 0.38]","nan  CI=[nan, nan]","0.34 *** CI=[0.23, 0.44]","nan  CI=[nan, nan]","0.28 *** CI=[0.15, 0.39]","0.19 *** CI=[nan, nan]","0.20 *** CI=[0.10, 0.30]","0.28 *** CI=[0.17, 0.38]","0.67 *** CI=[0.60, 0.73]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.28 *** CI=[0.15, 0.39]","0.69 *** CI=[0.61, 0.75]","0.92 *** CI=[0.88, 0.95]"
A1-D,"nan  CI=[nan, nan]","0.44 *** CI=[0.29, 0.56]","nan  CI=[nan, nan]","0.30 *** CI=[0.20, 0.40]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.34 *** CI=[0.24, 0.44]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.62 *** CI=[0.50, 0.73]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.58 *** CI=[0.44, 0.70]","0.29 *** CI=[nan, nan]","-0.11 * CI=[-0.23, 0.00]","0.12 * CI=[-0.06, 0.28]","0.10  CI=[0.01, 0.19]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.58 *** CI=[0.45, 0.70]","0.31 *** CI=[0.18, 0.42]","0.38 *** CI=[0.28, 0.49]"
A1-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
A1.2,"nan  CI=[nan, nan]","0.70 *** CI=[0.53, 0.84]","nan  CI=[nan, nan]","0.20 *** CI=[0.10, 0.30]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.27 *** CI=[0.15, 0.38]","0.62 *** CI=[0.50, 0.73]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.65 *** CI=[0.52, 0.75]","nan  CI=[nan, nan]","0.82 *** CI=[0.66, 0.95]","0.46 *** CI=[nan, nan]","0.14 * CI=[0.10, 0.17]","0.43 *** CI=[0.30, 0.53]","0.13 * CI=[0.10, 0.16]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.82 *** CI=[0.67, 0.94]","0.43 *** CI=[0.31, 0.53]","0.40 *** CI=[0.32, 0.49]"
