,F1-M,F1-D,F2a-M,F2b-M,F3-M,F4-M,F,A1-D,A1-M,A1.2,A2-M,A,I1-D,I1-M,I2,I3-D,I,R1.1,R1.2,R1.3-D,R1.3-M,R,FAIR
A2-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
A,"nan  CI=[nan, nan]","0.36 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.49 *** CI=[0.36, 0.61]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.49 *** CI=[0.36, 0.60]","0.99 *** CI=[0.98, 0.99]","nan  CI=[nan, nan]","0.47 *** CI=[0.33, 0.58]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.48 *** CI=[0.34, 0.60]","0.25 *** CI=[nan, nan]","0.11  CI=[-0.04, 0.24]","0.25 *** CI=[0.07, 0.40]","0.03  CI=[-0.12, 0.19]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.48 *** CI=[0.35, 0.59]","0.17 * CI=[0.00, 0.33]","0.58 *** CI=[0.46, 0.68]"
I1-D,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
I1-M,"nan  CI=[nan, nan]","0.73 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.40 *** CI=[0.27, 0.50]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.42 *** CI=[0.29, 0.52]","0.35 *** CI=[0.24, 0.45]","nan  CI=[nan, nan]","0.95 *** CI=[0.83, 1.00]","nan  CI=[nan, nan]","0.48 *** CI=[0.34, 0.60]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.51 *** CI=[nan, nan]","0.19 * CI=[0.13, 0.25]","0.48 *** CI=[nan, nan]","0.17 * CI=[0.05, 0.26]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.45 *** CI=[0.30, 0.56]","0.43 *** CI=[0.29, 0.53]"
I2,"nan  CI=[nan, nan]","0.69 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.23 ** CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.22 ** CI=[nan, nan]","0.18 * CI=[nan, nan]","nan  CI=[nan, nan]","0.54 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.25 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.51 *** CI=[nan, nan]","1.00 *** CI=[nan, nan]","0.10  CI=[nan, nan]","0.26 *** CI=[nan, nan]","0.11  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.51 *** CI=[nan, nan]","0.24 ** CI=[nan, nan]","0.23 ** CI=[nan, nan]"
I3-D,"nan  CI=[nan, nan]","0.14  CI=[nan, nan]","nan  CI=[nan, nan]","0.40 *** CI=[0.28, 0.52]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.40 *** CI=[0.27, 0.52]","0.09  CI=[-0.07, 0.24]","nan  CI=[nan, nan]","0.18 * CI=[0.12, 0.24]","nan  CI=[nan, nan]","0.11  CI=[-0.04, 0.24]","nan  CI=[nan, nan]","0.19 * CI=[0.13, 0.25]","0.10  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.95 *** CI=[0.92, 0.98]","-0.06  CI=[-0.21, 0.09]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.19 * CI=[0.13, 0.25]","-0.00  CI=[-0.16, 0.14]","0.50 *** CI=[0.38, 0.60]"
I,"nan  CI=[nan, nan]","0.36 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.48 *** CI=[0.36, 0.60]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.49 *** CI=[0.37, 0.61]","0.19 * CI=[0.03, 0.34]","nan  CI=[nan, nan]","0.46 *** CI=[0.31, 0.58]","nan  CI=[nan, nan]","0.25 *** CI=[0.07, 0.40]","nan  CI=[nan, nan]","0.48 *** CI=[nan, nan]","0.26 *** CI=[nan, nan]","0.95 *** CI=[0.92, 0.98]","1.00 *** CI=[1.00, 1.00]","-0.00  CI=[-0.15, 0.14]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.48 *** CI=[0.34, 0.58]","0.14  CI=[-0.04, 0.31]","0.58 *** CI=[0.46, 0.68]"
R1.1,"nan  CI=[nan, nan]","0.16 * CI=[nan, nan]","nan  CI=[nan, nan]","0.60 *** CI=[0.50, 0.69]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.60 *** CI=[0.49, 0.69]","0.00  CI=[-0.15, 0.16]","nan  CI=[nan, nan]","0.16 * CI=[0.04, 0.25]","nan  CI=[nan, nan]","0.03  CI=[-0.12, 0.19]","nan  CI=[nan, nan]","0.17 * CI=[0.05, 0.26]","0.11  CI=[nan, nan]","-0.06  CI=[-0.21, 0.09]","-0.00  CI=[-0.15, 0.14]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.17 * CI=[0.06, 0.26]","0.96 *** CI=[0.92, 0.98]","0.59 *** CI=[0.50, 0.68]"
R1.2,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
R1.3-D,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
R1.3-M,"nan  CI=[nan, nan]","0.73 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.40 *** CI=[0.28, 0.51]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.42 *** CI=[0.29, 0.52]","0.35 *** CI=[0.25, 0.44]","nan  CI=[nan, nan]","0.95 *** CI=[0.83, 1.00]","nan  CI=[nan, nan]","0.48 *** CI=[0.35, 0.59]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.51 *** CI=[nan, nan]","0.19 * CI=[0.13, 0.25]","0.48 *** CI=[0.34, 0.58]","0.17 * CI=[0.06, 0.26]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.45 *** CI=[0.33, 0.57]","0.43 *** CI=[0.29, 0.52]"
R,"nan  CI=[nan, nan]","0.35 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.66 *** CI=[0.58, 0.75]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.67 *** CI=[0.58, 0.74]","0.11  CI=[-0.06, 0.26]","nan  CI=[nan, nan]","0.43 *** CI=[0.26, 0.54]","nan  CI=[nan, nan]","0.17 * CI=[0.00, 0.33]","nan  CI=[nan, nan]","0.45 *** CI=[0.30, 0.56]","0.24 ** CI=[nan, nan]","-0.00  CI=[-0.16, 0.14]","0.14  CI=[-0.04, 0.31]","0.96 *** CI=[0.92, 0.98]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.45 *** CI=[0.33, 0.57]","1.00 *** CI=[1.00, 1.00]","0.67 *** CI=[0.57, 0.75]"
FAIR,"nan  CI=[nan, nan]","0.32 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.96 *** CI=[0.93, 0.98]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.96 *** CI=[0.93, 0.97]","0.55 *** CI=[0.46, 0.65]","nan  CI=[nan, nan]","0.41 *** CI=[0.29, 0.51]","nan  CI=[nan, nan]","0.58 *** CI=[0.46, 0.68]","nan  CI=[nan, nan]","0.43 *** CI=[0.29, 0.53]","0.23 ** CI=[nan, nan]","0.50 *** CI=[0.38, 0.60]","0.58 *** CI=[0.46, 0.68]","0.59 *** CI=[0.50, 0.68]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.43 *** CI=[0.29, 0.52]","0.67 *** CI=[0.57, 0.75]","1.00 *** CI=[1.00, 1.00]"
