,F1-M,F1-D,F2a-M,F2b-M,F3-M,F4-M,F,A1-D,A1-M,A1.2,A2-M,A,I1-D,I1-M,I2,I3-D,I,R1.1,R1.2,R1.3-D,R1.3-M,R,FAIR
F1-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F1-D,"nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.18 *** CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.28 *** CI=[0.17, 0.37]","0.43 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.70 *** CI=[0.49, 0.86]","nan  CI=[nan, nan]","0.44 *** CI=[0.28, 0.57]","nan  CI=[nan, nan]","0.61 *** CI=[nan, nan]","0.60 *** CI=[nan, nan]","0.04  CI=[-0.06, 0.11]","0.26 *** CI=[nan, nan]","0.09  CI=[0.05, 0.11]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.61 *** CI=[0.37, 0.80]","0.30 *** CI=[0.17, 0.41]","0.27 *** CI=[nan, nan]"
F2a-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F2b-M,"nan  CI=[nan, nan]","0.18 *** CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.99 *** CI=[0.96, 1.00]","0.31 *** CI=[0.20, 0.41]","nan  CI=[nan, nan]","0.21 *** CI=[0.10, 0.31]","nan  CI=[nan, nan]","0.31 *** CI=[0.20, 0.40]","nan  CI=[nan, nan]","0.21 *** CI=[0.08, 0.32]","0.17 ** CI=[nan, nan]","0.19 *** CI=[0.10, 0.28]","0.25 *** CI=[0.15, 0.35]","0.69 *** CI=[0.63, 0.75]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.21 *** CI=[0.09, 0.33]","0.69 *** CI=[0.62, 0.76]","0.91 *** CI=[0.87, 0.95]"
F3-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F4-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F,"nan  CI=[nan, nan]","0.28 *** CI=[0.17, 0.37]","nan  CI=[nan, nan]","0.99 *** CI=[0.96, 1.00]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.35 *** CI=[0.24, 0.44]","nan  CI=[nan, nan]","0.28 *** CI=[0.16, 0.37]","nan  CI=[nan, nan]","0.35 *** CI=[0.25, 0.44]","nan  CI=[nan, nan]","0.24 *** CI=[0.11, 0.36]","0.17 ** CI=[nan, nan]","0.18 ** CI=[0.09, 0.27]","0.25 *** CI=[0.14, 0.35]","0.69 *** CI=[0.63, 0.75]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.24 *** CI=[0.11, 0.36]","0.70 *** CI=[0.63, 0.77]","0.92 *** CI=[0.89, 0.96]"
A1-D,"nan  CI=[nan, nan]","0.43 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.31 *** CI=[0.20, 0.41]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.35 *** CI=[0.24, 0.44]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.61 *** CI=[0.48, 0.72]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.56 *** CI=[0.41, 0.69]","0.26 *** CI=[nan, nan]","-0.16 ** CI=[-0.29, -0.04]","0.06  CI=[-0.12, 0.23]","0.17 ** CI=[0.10, 0.22]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.56 *** CI=[0.41, 0.69]","0.36 *** CI=[0.25, 0.45]","0.40 *** CI=[0.28, 0.50]"
A1-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
A1.2,"nan  CI=[nan, nan]","0.70 *** CI=[0.49, 0.86]","nan  CI=[nan, nan]","0.21 *** CI=[0.10, 0.31]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.28 *** CI=[0.16, 0.37]","0.61 *** CI=[0.48, 0.72]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.64 *** CI=[0.51, 0.75]","nan  CI=[nan, nan]","0.80 *** CI=[0.63, 0.94]","0.42 *** CI=[nan, nan]","0.10  CI=[0.02, 0.15]","0.38 *** CI=[0.23, 0.49]","0.12 * CI=[0.09, 0.16]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.80 *** CI=[0.62, 0.93]","0.41 *** CI=[0.29, 0.51]","0.38 *** CI=[0.28, 0.46]"
A2-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
A,"nan  CI=[nan, nan]","0.44 *** CI=[0.28, 0.57]","nan  CI=[nan, nan]","0.31 *** CI=[0.20, 0.40]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.35 *** CI=[0.25, 0.44]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.64 *** CI=[0.51, 0.75]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.58 *** CI=[0.44, 0.70]","0.27 *** CI=[nan, nan]","-0.16 ** CI=[-0.27, -0.03]","0.07  CI=[-0.10, 0.23]","0.17 ** CI=[0.10, 0.22]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.58 *** CI=[0.43, 0.70]","0.36 *** CI=[0.26, 0.46]","0.41 *** CI=[0.28, 0.50]"
I1-D,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
