,F1-M,F1-D,F2a-M,F2b-M,F3-M,F4-M,F,A1-D,A1-M,A1.2,A2-M,A,I1-D,I1-M,I2,I3-D,I,R1.1,R1.2,R1.3-D,R1.3-M,R,FAIR
F1-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F1-D,"nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.08  CI=[-0.04, 0.18]","-0.02  CI=[nan, nan]","nan  CI=[nan, nan]","0.39 *** CI=[0.26, 0.49]","0.49 *** CI=[0.33, 0.61]","nan  CI=[nan, nan]","0.71 *** CI=[0.53, 0.86]","nan  CI=[nan, nan]","0.52 *** CI=[0.35, 0.64]","nan  CI=[nan, nan]","0.44 *** CI=[0.20, 0.65]","0.22 ** CI=[nan, nan]","0.04  CI=[nan, nan]","0.42 *** CI=[0.20, 0.62]","0.15 * CI=[0.09, 0.19]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.44 *** CI=[0.20, 0.65]","0.31 *** CI=[0.19, 0.42]","0.37 *** CI=[0.25, 0.47]"
F2a-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F2b-M,"nan  CI=[nan, nan]","0.08  CI=[-0.04, 0.18]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.12  CI=[nan, nan]","nan  CI=[nan, nan]","0.93 *** CI=[0.88, 0.98]","0.27 *** CI=[0.13, 0.41]","nan  CI=[nan, nan]","0.09  CI=[-0.04, 0.23]","nan  CI=[nan, nan]","0.26 *** CI=[0.12, 0.38]","nan  CI=[nan, nan]","0.20 ** CI=[0.07, 0.33]","0.27 *** CI=[nan, nan]","0.02  CI=[nan, nan]","0.20 ** CI=[0.07, 0.32]","0.79 *** CI=[0.73, 0.83]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.20 ** CI=[0.06, 0.33]","0.72 *** CI=[0.62, 0.81]","0.84 *** CI=[0.75, 0.90]"
F3-M,"nan  CI=[nan, nan]","-0.02  CI=[nan, nan]","nan  CI=[nan, nan]","0.12  CI=[nan, nan]","1.00 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.13  CI=[nan, nan]","-0.03  CI=[nan, nan]","nan  CI=[nan, nan]","-0.02  CI=[nan, nan]","nan  CI=[nan, nan]","-0.03  CI=[nan, nan]","nan  CI=[nan, nan]","-0.02  CI=[nan, nan]","-0.01  CI=[nan, nan]","0.01  CI=[nan, nan]","-0.02  CI=[nan, nan]","0.05  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","-0.02  CI=[nan, nan]","0.03  CI=[nan, nan]","0.08  CI=[nan, nan]"
F4-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F,"nan  CI=[nan, nan]","0.39 *** CI=[0.26, 0.49]","nan  CI=[nan, nan]","0.93 *** CI=[0.88, 0.98]","0.13  CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.41 *** CI=[0.25, 0.52]","nan  CI=[nan, nan]","0.31 *** CI=[0.16, 0.45]","nan  CI=[nan, nan]","0.41 *** CI=[0.26, 0.53]","nan  CI=[nan, nan]","0.31 *** CI=[0.16, 0.44]","0.28 *** CI=[nan, nan]","0.03  CI=[nan, nan]","0.31 *** CI=[0.17, 0.45]","0.79 *** CI=[0.73, 0.84]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.31 *** CI=[0.16, 0.45]","0.77 *** CI=[0.68, 0.84]","0.90 *** CI=[0.83, 0.95]"
A1-D,"nan  CI=[nan, nan]","0.49 *** CI=[0.33, 0.61]","nan  CI=[nan, nan]","0.27 *** CI=[0.13, 0.41]","-0.03  CI=[nan, nan]","nan  CI=[nan, nan]","0.41 *** CI=[0.25, 0.52]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.69 *** CI=[0.57, 0.80]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.59 *** CI=[0.43, 0.73]","0.28 *** CI=[nan, nan]","-0.16 * CI=[nan, nan]","0.47 *** CI=[0.26, 0.66]","0.22 ** CI=[0.12, 0.31]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.59 *** CI=[0.42, 0.71]","0.43 *** CI=[0.29, 0.55]","0.60 *** CI=[0.49, 0.69]"
A1-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
A1.2,"nan  CI=[nan, nan]","0.71 *** CI=[0.53, 0.86]","nan  CI=[nan, nan]","0.09  CI=[-0.04, 0.23]","-0.02  CI=[nan, nan]","nan  CI=[nan, nan]","0.31 *** CI=[0.16, 0.45]","0.69 *** CI=[0.57, 0.80]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.73 *** CI=[0.61, 0.83]","nan  CI=[nan, nan]","0.72 *** CI=[0.54, 0.87]","0.24 *** CI=[nan, nan]","0.05  CI=[nan, nan]","0.68 *** CI=[0.50, 0.84]","0.21 ** CI=[0.16, 0.26]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.72 *** CI=[0.54, 0.87]","0.48 *** CI=[0.36, 0.58]","0.52 *** CI=[0.41, 0.61]"
