,F1-M,F1-D,F2a-M,F2b-M,F3-M,F4-M,F,A1-D,A1-M,A1.2,A2-M,A,I1-D,I1-M,I2,I3-D,I,R1.1,R1.2,R1.3-D,R,FAIR,R1.3-M
F1-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F1-D,"nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.19 ** CI=[0.07, 0.30]","-0.01  CI=[nan, nan]","nan  CI=[nan, nan]","0.29 *** CI=[0.15, 0.40]","0.23 ** CI=[0.14, 0.30]","nan  CI=[nan, nan]","0.61 *** CI=[0.41, 0.77]","nan  CI=[nan, nan]","0.36 *** CI=[0.22, 0.46]","nan  CI=[nan, nan]","0.45 *** CI=[0.18, 0.67]","0.26 *** CI=[nan, nan]","0.03  CI=[nan, nan]","0.42 *** CI=[0.19, 0.61]","0.08  CI=[-0.06, 0.19]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.21 ** CI=[0.02, 0.35]","0.32 *** CI=[0.20, 0.41]","0.45 *** CI=[nan, nan]"
F2a-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F2b-M,"nan  CI=[nan, nan]","0.19 ** CI=[0.07, 0.30]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.10  CI=[nan, nan]","nan  CI=[nan, nan]","0.99 *** CI=[0.97, 1.00]","0.34 *** CI=[0.20, 0.47]","nan  CI=[nan, nan]","0.33 *** CI=[0.21, 0.42]","nan  CI=[nan, nan]","0.38 *** CI=[0.26, 0.50]","nan  CI=[nan, nan]","0.37 *** CI=[0.25, 0.48]","0.29 *** CI=[nan, nan]","0.10  CI=[nan, nan]","0.38 *** CI=[0.26, 0.48]","0.71 *** CI=[0.64, 0.78]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.73 *** CI=[0.65, 0.80]","0.91 *** CI=[0.87, 0.94]","0.37 *** CI=[0.24, 0.48]"
F3-M,"nan  CI=[nan, nan]","-0.01  CI=[nan, nan]","nan  CI=[nan, nan]","0.10  CI=[nan, nan]","1.00 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.12  CI=[nan, nan]","-0.06  CI=[nan, nan]","nan  CI=[nan, nan]","-0.02  CI=[nan, nan]","nan  CI=[nan, nan]","-0.06  CI=[nan, nan]","nan  CI=[nan, nan]","-0.02  CI=[nan, nan]","-0.01  CI=[nan, nan]","0.01  CI=[nan, nan]","-0.02  CI=[nan, nan]","0.07  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.05  CI=[nan, nan]","0.06  CI=[nan, nan]","-0.02  CI=[nan, nan]"
F4-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F,"nan  CI=[nan, nan]","0.29 *** CI=[0.15, 0.40]","nan  CI=[nan, nan]","0.99 *** CI=[0.97, 1.00]","0.12  CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.35 *** CI=[0.20, 0.48]","nan  CI=[nan, nan]","0.38 *** CI=[0.26, 0.48]","nan  CI=[nan, nan]","0.40 *** CI=[0.27, 0.53]","nan  CI=[nan, nan]","0.39 *** CI=[0.27, 0.49]","0.28 *** CI=[nan, nan]","0.10  CI=[nan, nan]","0.39 *** CI=[0.28, 0.49]","0.69 *** CI=[0.60, 0.77]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.72 *** CI=[0.63, 0.79]","0.92 *** CI=[0.88, 0.95]","0.39 *** CI=[0.26, 0.49]"
A1-D,"nan  CI=[nan, nan]","0.23 ** CI=[0.14, 0.30]","nan  CI=[nan, nan]","0.34 *** CI=[0.20, 0.47]","-0.06  CI=[nan, nan]","nan  CI=[nan, nan]","0.35 *** CI=[0.20, 0.48]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.37 *** CI=[0.29, 0.45]","nan  CI=[nan, nan]","0.97 *** CI=[0.95, 0.98]","nan  CI=[nan, nan]","0.36 *** CI=[0.28, 0.45]","0.20 ** CI=[nan, nan]","-0.09  CI=[nan, nan]","0.29 *** CI=[0.16, 0.41]","0.05  CI=[-0.10, 0.18]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.15 * CI=[0.00, 0.30]","0.56 *** CI=[0.44, 0.65]","0.36 *** CI=[0.28, 0.45]"
A1-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
A1.2,"nan  CI=[nan, nan]","0.61 *** CI=[0.41, 0.77]","nan  CI=[nan, nan]","0.33 *** CI=[0.21, 0.42]","-0.02  CI=[nan, nan]","nan  CI=[nan, nan]","0.38 *** CI=[0.26, 0.48]","0.37 *** CI=[0.29, 0.45]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.58 *** CI=[0.47, 0.67]","nan  CI=[nan, nan]","0.80 *** CI=[0.63, 0.93]","0.23 *** CI=[nan, nan]","0.05  CI=[nan, nan]","0.73 *** CI=[0.56, 0.87]","0.24 *** CI=[0.13, 0.33]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.45 *** CI=[0.29, 0.57]","0.52 *** CI=[0.41, 0.60]","0.80 *** CI=[0.63, 0.93]"
