,F1-M,F1-D,F2a-M,F2b-M,F3-M,F4-M,F,A1-D,A1-M,A1.2,A2-M,A,I1-D,I1-M,I2,I3-D,I,R1.1,R1.2,R1.3-D,R1.3-M,R,FAIR
F1-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F1-D,"nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.14 *** CI=[0.09, 0.19]","0.14 *** CI=[0.02, 0.27]","nan  CI=[nan, nan]","0.34 *** CI=[0.29, 0.39]","0.43 *** CI=[0.37, 0.47]","nan  CI=[nan, nan]","0.68 *** CI=[0.60, 0.74]","nan  CI=[nan, nan]","0.46 *** CI=[0.40, 0.51]","nan  CI=[nan, nan]","0.44 *** CI=[0.36, 0.52]","0.31 *** CI=[0.19, 0.42]","0.05  CI=[0.02, 0.07]","0.35 *** CI=[0.28, 0.42]","0.09 *** CI=[0.08, 0.10]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.44 *** CI=[0.36, 0.52]","0.32 *** CI=[0.26, 0.37]","0.33 *** CI=[0.29, 0.37]"
F2a-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F2b-M,"nan  CI=[nan, nan]","0.14 *** CI=[0.09, 0.19]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.15 *** CI=[0.10, 0.20]","nan  CI=[nan, nan]","0.96 *** CI=[0.95, 0.98]","0.40 *** CI=[0.35, 0.45]","nan  CI=[nan, nan]","0.19 *** CI=[0.15, 0.24]","nan  CI=[nan, nan]","0.39 *** CI=[0.35, 0.44]","nan  CI=[nan, nan]","0.29 *** CI=[0.25, 0.34]","0.28 *** CI=[0.24, 0.32]","0.24 *** CI=[0.19, 0.28]","0.37 *** CI=[0.32, 0.41]","0.58 *** CI=[0.54, 0.61]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.29 *** CI=[0.25, 0.34]","0.59 *** CI=[0.56, 0.63]","0.87 *** CI=[0.84, 0.89]"
F3-M,"nan  CI=[nan, nan]","0.14 *** CI=[0.02, 0.27]","nan  CI=[nan, nan]","0.15 *** CI=[0.10, 0.20]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.17 *** CI=[0.12, 0.21]","0.15 *** CI=[0.08, 0.21]","nan  CI=[nan, nan]","0.11 *** CI=[0.01, 0.21]","nan  CI=[nan, nan]","0.15 *** CI=[0.08, 0.21]","nan  CI=[nan, nan]","0.09 *** CI=[0.01, 0.17]","0.10 *** CI=[-0.02, 0.22]","0.00  CI=[-0.06, 0.03]","0.07 ** CI=[-0.00, 0.15]","0.04  CI=[0.03, 0.05]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.09 *** CI=[0.01, 0.17]","0.08 ** CI=[0.03, 0.13]","0.14 *** CI=[0.09, 0.17]"
F4-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F,"nan  CI=[nan, nan]","0.34 *** CI=[0.29, 0.39]","nan  CI=[nan, nan]","0.96 *** CI=[0.95, 0.98]","0.17 *** CI=[0.12, 0.21]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.47 *** CI=[0.43, 0.51]","nan  CI=[nan, nan]","0.33 *** CI=[0.27, 0.38]","nan  CI=[nan, nan]","0.47 *** CI=[0.43, 0.52]","nan  CI=[nan, nan]","0.35 *** CI=[0.31, 0.40]","0.29 *** CI=[0.25, 0.32]","0.23 *** CI=[0.19, 0.28]","0.41 *** CI=[0.36, 0.45]","0.58 *** CI=[0.54, 0.61]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.35 *** CI=[0.30, 0.40]","0.63 *** CI=[0.59, 0.66]","0.90 *** CI=[0.88, 0.92]"
A1-D,"nan  CI=[nan, nan]","0.43 *** CI=[0.37, 0.47]","nan  CI=[nan, nan]","0.40 *** CI=[0.35, 0.45]","0.15 *** CI=[0.08, 0.21]","nan  CI=[nan, nan]","0.47 *** CI=[0.43, 0.51]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.63 *** CI=[0.58, 0.67]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.55 *** CI=[0.49, 0.61]","0.33 *** CI=[0.27, 0.39]","-0.05  CI=[-0.11, 0.01]","0.36 *** CI=[0.28, 0.43]","0.18 *** CI=[0.15, 0.21]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.55 *** CI=[0.49, 0.60]","0.45 *** CI=[0.40, 0.49]","0.61 *** CI=[0.57, 0.64]"
A1-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
A1.2,"nan  CI=[nan, nan]","0.68 *** CI=[0.60, 0.74]","nan  CI=[nan, nan]","0.19 *** CI=[0.15, 0.24]","0.11 *** CI=[0.01, 0.21]","nan  CI=[nan, nan]","0.33 *** CI=[0.27, 0.38]","0.63 *** CI=[0.58, 0.67]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.68 *** CI=[0.64, 0.72]","nan  CI=[nan, nan]","0.68 *** CI=[0.61, 0.74]","0.52 *** CI=[0.43, 0.60]","0.07 ** CI=[0.04, 0.10]","0.54 *** CI=[0.48, 0.59]","0.13 *** CI=[0.12, 0.15]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.68 *** CI=[0.61, 0.74]","0.48 *** CI=[0.44, 0.54]","0.48 *** CI=[0.44, 0.51]"
