,F1-M,F1-D,F2a-M,F2b-M,F3-M,F4-M,F,A1-D,A1-M,A1.2,A2-M,A,I1-D,I1-M,I2,I3-D,I,R1.1,R1.2,R1.3-D,R,FAIR,R1.3-M
F1-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F1-D,"nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.23 *** CI=[0.19, 0.27]","0.02  CI=[-0.02, 0.11]","nan  CI=[nan, nan]","0.31 *** CI=[0.27, 0.35]","0.24 *** CI=[0.20, 0.27]","nan  CI=[nan, nan]","0.59 *** CI=[0.52, 0.65]","nan  CI=[nan, nan]","0.35 *** CI=[0.30, 0.39]","nan  CI=[nan, nan]","0.44 *** CI=[0.35, 0.52]","0.19 *** CI=[0.09, 0.30]","0.06 * CI=[0.05, 0.07]","0.34 *** CI=[0.27, 0.40]","0.14 *** CI=[0.10, 0.18]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.25 *** CI=[0.19, 0.30]","0.31 *** CI=[0.27, 0.34]","0.44 *** CI=[0.35, 0.52]"
F2a-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F2b-M,"nan  CI=[nan, nan]","0.23 *** CI=[0.19, 0.27]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.13 *** CI=[0.09, 0.17]","nan  CI=[nan, nan]","0.99 *** CI=[0.99, 1.00]","0.65 *** CI=[0.62, 0.68]","nan  CI=[nan, nan]","0.44 *** CI=[0.40, 0.47]","nan  CI=[nan, nan]","0.68 *** CI=[0.65, 0.70]","nan  CI=[nan, nan]","0.47 *** CI=[0.43, 0.51]","0.34 *** CI=[0.30, 0.39]","0.16 *** CI=[0.12, 0.20]","0.44 *** CI=[0.39, 0.48]","0.73 *** CI=[0.71, 0.76]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.78 *** CI=[0.75, 0.80]","0.96 *** CI=[0.95, 0.97]","0.47 *** CI=[0.44, 0.51]"
F3-M,"nan  CI=[nan, nan]","0.02  CI=[-0.02, 0.11]","nan  CI=[nan, nan]","0.13 *** CI=[0.09, 0.17]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.16 *** CI=[0.11, 0.20]","0.10 *** CI=[0.05, 0.13]","nan  CI=[nan, nan]","0.07 ** CI=[-0.00, 0.16]","nan  CI=[nan, nan]","0.10 *** CI=[0.05, 0.15]","nan  CI=[nan, nan]","0.10 *** CI=[0.01, 0.19]","0.10 *** CI=[-0.02, 0.21]","0.00  CI=[-0.06, 0.03]","0.07 ** CI=[-0.00, 0.15]","0.09 *** CI=[0.06, 0.11]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.11 *** CI=[0.07, 0.15]","0.13 *** CI=[0.08, 0.16]","0.10 *** CI=[0.02, 0.18]"
F4-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F,"nan  CI=[nan, nan]","0.31 *** CI=[0.27, 0.35]","nan  CI=[nan, nan]","0.99 *** CI=[0.99, 1.00]","0.16 *** CI=[0.11, 0.20]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.66 *** CI=[0.63, 0.69]","nan  CI=[nan, nan]","0.47 *** CI=[0.44, 0.51]","nan  CI=[nan, nan]","0.69 *** CI=[0.66, 0.72]","nan  CI=[nan, nan]","0.49 *** CI=[0.45, 0.53]","0.33 *** CI=[0.29, 0.37]","0.16 *** CI=[0.12, 0.20]","0.45 *** CI=[0.40, 0.49]","0.73 *** CI=[0.70, 0.75]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.78 *** CI=[0.75, 0.80]","0.97 *** CI=[0.96, 0.97]","0.49 *** CI=[0.45, 0.52]"
A1-D,"nan  CI=[nan, nan]","0.24 *** CI=[0.20, 0.27]","nan  CI=[nan, nan]","0.65 *** CI=[0.62, 0.68]","0.10 *** CI=[0.05, 0.13]","nan  CI=[nan, nan]","0.66 *** CI=[0.63, 0.69]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.40 *** CI=[0.37, 0.43]","nan  CI=[nan, nan]","0.98 *** CI=[0.97, 0.98]","nan  CI=[nan, nan]","0.42 *** CI=[0.38, 0.45]","0.26 *** CI=[0.22, 0.29]","0.03  CI=[-0.02, 0.08]","0.31 *** CI=[0.26, 0.36]","0.39 *** CI=[0.34, 0.43]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.46 *** CI=[0.42, 0.50]","0.75 *** CI=[0.73, 0.77]","0.42 *** CI=[0.38, 0.45]"
A1-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
A1.2,"nan  CI=[nan, nan]","0.59 *** CI=[0.52, 0.65]","nan  CI=[nan, nan]","0.44 *** CI=[0.40, 0.47]","0.07 ** CI=[-0.00, 0.16]","nan  CI=[nan, nan]","0.47 *** CI=[0.44, 0.51]","0.40 *** CI=[0.37, 0.43]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.59 *** CI=[0.55, 0.62]","nan  CI=[nan, nan]","0.84 *** CI=[0.78, 0.88]","0.49 *** CI=[0.41, 0.57]","0.10 *** CI=[0.09, 0.11]","0.65 *** CI=[0.60, 0.70]","0.28 *** CI=[0.24, 0.31]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.49 *** CI=[0.45, 0.53]","0.51 *** CI=[0.47, 0.55]","0.84 *** CI=[0.78, 0.88]"
