,F1-M,F1-D,F2a-M,F2b-M,F3-M,F4-M,F,A1-D,A1-M,A1.2,A2-M,A,I1-D,I1-M,I2,I3-D,I,R1.1,R1.2,R1.3-D,R1.3-M,R,FAIR
F1-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F1-D,"nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.15 *** CI=[0.10, 0.20]","0.14 *** CI=[0.02, 0.28]","nan  CI=[nan, nan]","0.34 *** CI=[0.29, 0.38]","0.43 *** CI=[0.37, 0.48]","nan  CI=[nan, nan]","0.62 *** CI=[0.55, 0.68]","nan  CI=[nan, nan]","0.46 *** CI=[0.41, 0.51]","nan  CI=[nan, nan]","0.43 *** CI=[0.35, 0.51]","0.29 *** CI=[0.17, 0.40]","0.05  CI=[0.02, 0.07]","0.35 *** CI=[0.27, 0.41]","0.08 ** CI=[0.06, 0.10]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.43 *** CI=[0.35, 0.52]","0.31 *** CI=[0.25, 0.36]","0.33 *** CI=[0.29, 0.37]"
F2a-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F2b-M,"nan  CI=[nan, nan]","0.15 *** CI=[0.10, 0.20]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.15 *** CI=[0.11, 0.20]","nan  CI=[nan, nan]","0.97 *** CI=[0.95, 0.98]","0.34 *** CI=[0.29, 0.39]","nan  CI=[nan, nan]","0.16 *** CI=[0.10, 0.21]","nan  CI=[nan, nan]","0.33 *** CI=[0.28, 0.38]","nan  CI=[nan, nan]","0.22 *** CI=[0.16, 0.27]","0.29 *** CI=[0.25, 0.32]","0.22 *** CI=[0.18, 0.26]","0.30 *** CI=[0.26, 0.35]","0.60 *** CI=[0.57, 0.64]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.22 *** CI=[0.16, 0.27]","0.57 *** CI=[0.52, 0.61]","0.84 *** CI=[0.80, 0.86]"
F3-M,"nan  CI=[nan, nan]","0.14 *** CI=[0.02, 0.28]","nan  CI=[nan, nan]","0.15 *** CI=[0.11, 0.20]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.17 *** CI=[0.12, 0.21]","0.16 *** CI=[0.08, 0.21]","nan  CI=[nan, nan]","0.10 *** CI=[0.00, 0.19]","nan  CI=[nan, nan]","0.15 *** CI=[0.09, 0.21]","nan  CI=[nan, nan]","0.09 *** CI=[0.01, 0.18]","0.10 *** CI=[-0.02, 0.22]","0.00  CI=[-0.06, 0.03]","0.07 ** CI=[-0.01, 0.14]","0.04  CI=[0.03, 0.05]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.09 *** CI=[0.00, 0.17]","0.08 ** CI=[0.03, 0.13]","0.14 *** CI=[0.09, 0.17]"
F4-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F,"nan  CI=[nan, nan]","0.34 *** CI=[0.29, 0.38]","nan  CI=[nan, nan]","0.97 *** CI=[0.95, 0.98]","0.17 *** CI=[0.12, 0.21]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.41 *** CI=[0.36, 0.46]","nan  CI=[nan, nan]","0.27 *** CI=[0.21, 0.33]","nan  CI=[nan, nan]","0.41 *** CI=[0.36, 0.45]","nan  CI=[nan, nan]","0.27 *** CI=[0.21, 0.32]","0.29 *** CI=[0.25, 0.33]","0.22 *** CI=[0.17, 0.26]","0.34 *** CI=[0.29, 0.38]","0.60 *** CI=[0.56, 0.63]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.27 *** CI=[0.21, 0.32]","0.60 *** CI=[0.55, 0.64]","0.87 *** CI=[0.84, 0.89]"
A1-D,"nan  CI=[nan, nan]","0.43 *** CI=[0.37, 0.48]","nan  CI=[nan, nan]","0.34 *** CI=[0.29, 0.39]","0.16 *** CI=[0.08, 0.21]","nan  CI=[nan, nan]","0.41 *** CI=[0.36, 0.46]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.70 *** CI=[0.65, 0.74]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.58 *** CI=[0.52, 0.63]","0.37 *** CI=[0.30, 0.43]","-0.05  CI=[-0.10, 0.01]","0.38 *** CI=[0.31, 0.45]","0.19 *** CI=[0.15, 0.21]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.58 *** CI=[0.52, 0.64]","0.46 *** CI=[0.42, 0.50]","0.60 *** CI=[0.56, 0.64]"
A1-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
A1.2,"nan  CI=[nan, nan]","0.62 *** CI=[0.55, 0.68]","nan  CI=[nan, nan]","0.16 *** CI=[0.10, 0.21]","0.10 *** CI=[0.00, 0.19]","nan  CI=[nan, nan]","0.27 *** CI=[0.21, 0.33]","0.70 *** CI=[0.65, 0.74]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.74 *** CI=[0.70, 0.78]","nan  CI=[nan, nan]","0.80 *** CI=[0.74, 0.85]","0.52 *** CI=[0.45, 0.60]","0.09 *** CI=[0.07, 0.11]","0.63 *** CI=[0.58, 0.68]","0.15 *** CI=[0.12, 0.17]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.80 *** CI=[0.74, 0.85]","0.55 *** CI=[0.51, 0.60]","0.52 *** CI=[0.48, 0.56]"
