KG id,KG name,KG SPARQL endpoint,RDF dump link,Ontology,F1-M Unique and persistent ID,F1-D URIs dereferenceability,F2a-M - Metadata availability via standard primary sources,F2b-M Metadata availability for all the attributes covered in the FAIR score computation,F3-M Data referrable via a DOI,F4-M Metadata registered in a searchable engine,F score,A1-D Working access point(s),A1-M Metadata availability via working primary sources,A1.2 Authentication & HTTPS support,A2-M Registered in search engines,A score,I1-D Standard & open representation format,I1-M Metadata are described with VoID/DCAT predicates,I2 Use of FAIR vocabularies,I3-D Degree of connection,I score,R1.1 Machine- or human-readable license retrievable via any primary source,"R1.2 Publisher information, such as authors, contributors, publishers, and sources",R1.3-D Data organized in a standardized way,R1.3-M Metadata are described with VoID/DCAT predicates,R score,FAIR score
a-collection-of-papers-for-lrec2014-and-related-workshops,A collection of Papers for LREC2014 and related Workshops,,[],False,1,0.0,1,0.33,0,1,0.56,0.0,1,0.0,1,0.5,1,0,0.0,0,0.25,1,1,1,0,0.75,2.06
acadonto,AcadOnto,,[],True,1,0.0,1,0.22,0,1,0.54,0.0,1,0.0,1,0.5,1,0,0.0,0,0.25,0,1,1,0,0.5,1.79
alpino-rdf,ALPINO RDF Treebank,http://lexinfo.net/corpora/alpino/query.php,[],False,1,0.0,1,0.56,0,1,0.59,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.34
arrayexpress-e-afmx-1,"Transcription profiling of human, chimp and mouse brain",http://purl.org/twc/arrayexpress/virtuoso/sparql,[],False,1,0.0,1,0.33,0,1,0.56,0.0,1,0.0,1,0.5,1,0,0.0,0,0.25,0,1,1,0,0.5,1.81
aspire-mmu,Talis Aspire - Manchester Metropolitan University,,[],False,1,0.0,1,0.33,0,1,0.56,0.0,1,0.0,1,0.5,1,0,0.0,0,0.25,0,1,1,0,0.5,1.81
associations,associations,,['https://w3id.org/associations/eat.nt.gz'],False,1,0.0,1,0.78,0,1,0.63,1.0,1,0.0,1,0.75,1,1,0.0,1,0.75,1,1,1,1,1.0,3.13
bbop-selected,BBOP,,[],True,1,0.0,1,0.44,0,1,0.57,0.0,1,0.0,1,0.5,1,0,0.0,0,0.25,1,1,1,0,0.75,2.07
bdgp,Bdgp,http://www.open-biomed.org.uk/sparql/endpoint/bdgp_20081030,['http://www.open-biomed.org.uk/open-biomed-data/bdgp-images-all-20110211.tar.gz'],False,1,0.0,1,0.67,0,1,0.61,1.0,1,0.0,1,0.75,1,0,0.0,0,0.25,1,1,1,0,0.75,2.36
beneficiaries-of-the-european-commission,EU: fintrans.publicdata.eu,http://fintrans.publicdata.eu/sparql,[],False,1,0.0,1,0.67,0,1,0.61,0.5,1,0.0,1,0.62,1,0,0.0,1,0.5,1,1,1,0,0.75,2.48
berlios,berlios,,[],False,1,0.0,1,0.33,0,1,0.56,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,0,1,1,0,0.5,2.06
billion_triples_challenge_dataset2008,Billion Triples Challenge Dataset 2008,,['http://www.cs.vu.nl/~pmika/swc/btc.html'],False,1,0.0,1,0.56,0,1,0.59,1.0,1,0.0,1,0.75,1,0,0.0,0,0.25,1,1,1,0,0.75,2.34
billion_triples_challenge_dataset_2010,Billion Triples Challenge Dataset 2010,,['http://km.aifb.kit.edu/projects/btc-2010/'],False,1,0.0,1,0.56,0,1,0.59,1.0,1,0.0,1,0.75,1,0,0.0,0,0.25,1,1,1,0,0.75,2.34
