,F1-M,F1-D,F2a-M,F2b-M,F3-M,F4-M,F,A1-D,A1-M,A1.2,A2-M,A,I1-D,I1-M,I2,I3-D,I,R1.1,R1.2,R1.3-D,R1.3-M,R,FAIR
F1-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F1-D,"nan  CI=[nan, nan]","1.00 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.05  CI=[nan, nan]","-0.04  CI=[nan, nan]","nan  CI=[nan, nan]","0.45 ** CI=[nan, nan]","0.42 ** CI=[nan, nan]","nan  CI=[nan, nan]","0.85 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.52 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.42 ** CI=[nan, nan]","0.59 *** CI=[nan, nan]","0.07  CI=[nan, nan]","0.39 ** CI=[nan, nan]","0.07  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.42 ** CI=[nan, nan]","0.37 * CI=[nan, nan]","0.45 ** CI=[nan, nan]"
F2a-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F2b-M,"nan  CI=[nan, nan]","0.05  CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.28  CI=[nan, nan]","nan  CI=[nan, nan]","0.88 *** CI=[0.71, 1.00]","0.52 *** CI=[0.19, 0.78]","nan  CI=[nan, nan]","0.10  CI=[nan, nan]","nan  CI=[nan, nan]","0.49 *** CI=[0.19, 0.75]","nan  CI=[nan, nan]","0.30 * CI=[nan, nan]","0.25  CI=[nan, nan]","0.24  CI=[nan, nan]","0.37 * CI=[0.04, 0.65]","0.36 * CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.30 * CI=[nan, nan]","0.43 ** CI=[0.17, 0.65]","0.83 *** CI=[0.62, 0.97]"
F3-M,"nan  CI=[nan, nan]","-0.04  CI=[nan, nan]","nan  CI=[nan, nan]","0.28  CI=[nan, nan]","1.00 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.28  CI=[nan, nan]","0.24  CI=[nan, nan]","nan  CI=[nan, nan]","-0.05  CI=[nan, nan]","nan  CI=[nan, nan]","0.20  CI=[nan, nan]","nan  CI=[nan, nan]","-0.06  CI=[nan, nan]","-0.02  CI=[nan, nan]","0.04  CI=[nan, nan]","-0.03  CI=[nan, nan]","0.04  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","-0.06  CI=[nan, nan]","-0.03  CI=[nan, nan]","0.18  CI=[nan, nan]"
F4-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F,"nan  CI=[nan, nan]","0.45 ** CI=[nan, nan]","nan  CI=[nan, nan]","0.88 *** CI=[0.71, 1.00]","0.28  CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.66 *** CI=[0.37, 0.85]","nan  CI=[nan, nan]","0.45 ** CI=[nan, nan]","nan  CI=[nan, nan]","0.68 *** CI=[0.42, 0.84]","nan  CI=[nan, nan]","0.40 ** CI=[nan, nan]","0.26  CI=[nan, nan]","0.25  CI=[nan, nan]","0.46 ** CI=[0.18, 0.68]","0.36 * CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.40 ** CI=[nan, nan]","0.51 *** CI=[nan, nan]","0.95 *** CI=[0.88, 0.98]"
A1-D,"nan  CI=[nan, nan]","0.42 ** CI=[nan, nan]","nan  CI=[nan, nan]","0.52 *** CI=[0.19, 0.78]","0.24  CI=[nan, nan]","nan  CI=[nan, nan]","0.66 *** CI=[0.37, 0.85]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.49 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.99 *** CI=[0.97, 1.00]","nan  CI=[nan, nan]","0.27  CI=[nan, nan]","0.24  CI=[nan, nan]","-0.22  CI=[nan, nan]","0.10  CI=[-0.31, 0.47]","-0.01  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.27  CI=[nan, nan]","0.21  CI=[-0.14, 0.50]","0.64 *** CI=[0.35, 0.84]"
A1-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
A1.2,"nan  CI=[nan, nan]","0.85 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.10  CI=[nan, nan]","-0.05  CI=[nan, nan]","nan  CI=[nan, nan]","0.45 ** CI=[nan, nan]","0.49 *** CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.61 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.56 *** CI=[nan, nan]","0.48 ** CI=[nan, nan]","0.09  CI=[nan, nan]","0.50 *** CI=[nan, nan]","0.09  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.56 *** CI=[nan, nan]","0.49 *** CI=[nan, nan]","0.52 *** CI=[nan, nan]"
A2-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
A,"nan  CI=[nan, nan]","0.52 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.49 *** CI=[0.19, 0.75]","0.20  CI=[nan, nan]","nan  CI=[nan, nan]","0.68 *** CI=[0.42, 0.84]","0.99 *** CI=[0.97, 1.00]","nan  CI=[nan, nan]","0.61 *** CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.35 * CI=[nan, nan]","0.29  CI=[nan, nan]","-0.18  CI=[nan, nan]","0.19  CI=[-0.27, 0.57]","0.00  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.35 * CI=[nan, nan]","0.27  CI=[-0.12, 0.59]","0.68 *** CI=[0.39, 0.86]"
I1-D,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
I1-M,"nan  CI=[nan, nan]","0.42 ** CI=[nan, nan]","nan  CI=[nan, nan]","0.30 * CI=[nan, nan]","-0.06  CI=[nan, nan]","nan  CI=[nan, nan]","0.40 ** CI=[nan, nan]","0.27  CI=[nan, nan]","nan  CI=[nan, nan]","0.56 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.35 * CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[nan, nan]","0.38 * CI=[nan, nan]","0.11  CI=[nan, nan]","0.85 *** CI=[nan, nan]","0.11  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[nan, nan]","0.85 *** CI=[nan, nan]","0.61 *** CI=[nan, nan]"
I2,"nan  CI=[nan, nan]","0.59 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.25  CI=[nan, nan]","-0.02  CI=[nan, nan]","nan  CI=[nan, nan]","0.26  CI=[nan, nan]","0.24  CI=[nan, nan]","nan  CI=[nan, nan]","0.48 ** CI=[nan, nan]","nan  CI=[nan, nan]","0.29  CI=[nan, nan]","nan  CI=[nan, nan]","0.38 * CI=[nan, nan]","1.00 *** CI=[nan, nan]","0.04  CI=[nan, nan]","0.37 * CI=[nan, nan]","0.04  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.38 * CI=[nan, nan]","0.32 * CI=[nan, nan]","0.27  CI=[nan, nan]"
I3-D,"nan  CI=[nan, nan]","0.07  CI=[nan, nan]","nan  CI=[nan, nan]","0.24  CI=[nan, nan]","0.04  CI=[nan, nan]","nan  CI=[nan, nan]","0.25  CI=[nan, nan]","-0.22  CI=[nan, nan]","nan  CI=[nan, nan]","0.09  CI=[nan, nan]","nan  CI=[nan, nan]","-0.18  CI=[nan, nan]","nan  CI=[nan, nan]","0.11  CI=[nan, nan]","0.04  CI=[nan, nan]","1.00 *** CI=[nan, nan]","0.62 *** CI=[nan, nan]","0.28  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.11  CI=[nan, nan]","0.24  CI=[nan, nan]","0.28  CI=[nan, nan]"
I,"nan  CI=[nan, nan]","0.39 ** CI=[nan, nan]","nan  CI=[nan, nan]","0.37 * CI=[0.04, 0.65]","-0.03  CI=[nan, nan]","nan  CI=[nan, nan]","0.46 ** CI=[0.18, 0.68]","0.10  CI=[-0.31, 0.47]","nan  CI=[nan, nan]","0.50 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.19  CI=[-0.27, 0.57]","nan  CI=[nan, nan]","0.85 *** CI=[nan, nan]","0.37 * CI=[nan, nan]","0.62 *** CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.24  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.85 *** CI=[0.61, 1.00]","0.79 *** CI=[0.51, 0.97]","0.63 *** CI=[0.35, 0.80]"
R1.1,"nan  CI=[nan, nan]","0.07  CI=[nan, nan]","nan  CI=[nan, nan]","0.36 * CI=[nan, nan]","0.04  CI=[nan, nan]","nan  CI=[nan, nan]","0.36 * CI=[nan, nan]","-0.01  CI=[nan, nan]","nan  CI=[nan, nan]","0.09  CI=[nan, nan]","nan  CI=[nan, nan]","0.00  CI=[nan, nan]","nan  CI=[nan, nan]","0.11  CI=[nan, nan]","0.04  CI=[nan, nan]","0.28  CI=[nan, nan]","0.24  CI=[nan, nan]","1.00 *** CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.11  CI=[nan, nan]","0.62 *** CI=[nan, nan]","0.44 ** CI=[nan, nan]"
